"","WOL_node_4373","WOL_node_10719","WOL_node_3347","WOL_node_86","WOL_node_1635","WOL_node_2204","WOL_node_4755","WOL_node_4757","WOL_node_4932","WOL_node_4933","WOL_node_4934","WOL_node_5518","WOL_node_5656","WOL_node_6331","WOL_node_6839","WOL_node_9047","WOL_node_11637","WOL_node_11961","WOL_node_12816","WOL_node_3725","WOL_node_10908","WOL_node_11462"
"WOL_node_1031",1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"WOL_node_15593",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"WOL_node_1306",1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
"WOL_node_1669",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WOL_node_1732",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_15311",1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"WOL_node_9213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11098",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12610",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"WOL_node_276",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_2816",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4227",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12242",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1361",0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1
"WOL_node_2650",0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"WOL_node_1793",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_2894",0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"WOL_node_15417",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_3230",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6891",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9156",0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"WOL_node_9180",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_349",0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
