"";"network_db";"network_id";"reference";"citation"
"1";"FS20";"Aguiar 2007";"Aguiar, L., & Marinho-Filho, J. (2007). Bat frugivory in a remnant of Southeastern Brazilian Atlantic forest. Acta Chiropterologica, 9(1), 251-260.";"Aguiar 2007"
"2";"FS20";"Aguilar-Garavito 2014 mature";"Aguilar-Garavito, M., Renjifo, L. M., & Pérez-Torres, J. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15(2), 87-101.";"Aguilar-Garavito 2014"
"3";"FS20";"Aguilar-Garavito 2014 one";"Aguilar-Garavito, M., Renjifo, L. M., & Pérez-Torres, J. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15(2), 87-101.";"Aguilar-Garavito 2014"
"4";"FS20";"Aguilar-Garavito 2014 pasture";"Aguilar-Garavito, M., Renjifo, L. M., & Pérez-Torres, J. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15(2), 87-101.";"Aguilar-Garavito 2014"
"5";"FS20";"Aguilar-Garavito 2014 seven";"Aguilar-Garavito, M., Renjifo, L. M., & Pérez-Torres, J. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15(2), 87-101.";"Aguilar-Garavito 2014"
"6";"FS20";"Albrecht 102_2011";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"7";"FS20";"Albrecht 102_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"8";"FS20";"Albrecht 111_2011";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"9";"FS20";"Albrecht 111_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"10";"FS20";"Albrecht 112_2011";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"11";"FS20";"Albrecht 112_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"12";"FS20";"Albrecht 11_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"13";"FS20";"Albrecht 13_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"14";"FS20";"Albrecht 15_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"15";"FS20";"Albrecht 203_2011";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"16";"FS20";"Albrecht 203_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"17";"FS20";"Albrecht 301_2011";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"18";"FS20";"Albrecht 301_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
"19";"FS20";"Albrecht 30_2012";"Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore_mediated facilitation and competition among co_dispersed plant species. Journal of Ecology, 103(2), 526-536.";"Albrecht 2013"
