"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"FS20_001";"Aguiar 2007";"FS20";"frugivory";"Bats";1990;-19,8333333333333;-41,8333333333333;NA;"bipartite";"Point"
"FS20_002";"Aguilar-Garavito 2014 mature";"FS20";"frugivory";"Bats";2014;4,673611;-75,615;NA;"bipartite";"Point"
"FS20_003";"Aguilar-Garavito 2014 one";"FS20";"frugivory";"Bats";2014;4,673611;-75,615;NA;"bipartite";"Point"
"FS20_004";"Aguilar-Garavito 2014 pasture";"FS20";"frugivory";"Bats";2014;4,673611;-75,615;NA;"bipartite";"Point"
"FS20_005";"Aguilar-Garavito 2014 seven";"FS20";"frugivory";"Bats";2014;4,673611;-75,615;NA;"bipartite";"Point"
"FS20_006";"Albrecht 102_2011";"FS20";"frugivory";"Birds";2011;52,70307;23,653528;NA;"bipartite";"Point"
"FS20_007";"Albrecht 102_2012";"FS20";"frugivory";"Birds";2012;52,70307;23,653528;NA;"bipartite";"Point"
"FS20_008";"Albrecht 11_2012";"FS20";"frugivory";"Birds";2012;52,845312;23,809758;NA;"bipartite";"Point"
"FS20_009";"Albrecht 111_2011";"FS20";"frugivory";"Birds";2011;52,717234;23,816766;NA;"bipartite";"Point"
"FS20_010";"Albrecht 111_2012";"FS20";"frugivory";"Birds";2012;52,717234;23,816766;NA;"bipartite";"Point"
"FS20_011";"Albrecht 112_2011";"FS20";"frugivory";"Birds";2011;52,733813;23,789229;NA;"bipartite";"Point"
"FS20_012";"Albrecht 112_2012";"FS20";"frugivory";"Birds";2012;52,733813;23,789229;NA;"bipartite";"Point"
"FS20_013";"Albrecht 13_2012";"FS20";"frugivory";"Birds";2012;52,832209;23,772104;NA;"bipartite";"Point"
"FS20_014";"Albrecht 15_2012";"FS20";"frugivory";"Birds";2012;52,691722;23,84074;NA;"bipartite";"Point"
"FS20_015";"Albrecht 203_2011";"FS20";"frugivory";"Birds";2011;52,704294;23,622402;NA;"bipartite";"Point"
"FS20_016";"Albrecht 203_2012";"FS20";"frugivory";"Birds";2012;52,704294;23,622402;NA;"bipartite";"Point"
"FS20_017";"Albrecht 30_2012";"FS20";"frugivory";"Birds";2012;52,688673;23,877749;NA;"bipartite";"Point"
"FS20_018";"Albrecht 301_2011";"FS20";"frugivory";"Birds";2011;52,742522;23,833125;NA;"bipartite";"Point"
