"";"D21_node_344";"D21_node_470";"D21_node_759";"D21_node_780";"D21_node_865";"D21_node_867";"D21_node_1135";"D21_node_1151";"D21_node_461";"D21_node_350";"D21_node_611";"D21_node_299"
"D21_node_124";1;1;0;0;0;0;0;0;0;0;0;0
"D21_node_134";1;1;0;0;0;1;0;0;0;0;1;0
"D21_node_165";0;1;1;1;0;1;0;0;1;0;1;0
"D21_node_162";0;1;0;1;0;1;1;1;0;0;0;0
"D21_node_182";0;0;0;0;1;0;0;0;0;0;1;0
"D21_node_188";0;0;0;1;0;1;0;1;0;1;0;0
"D21_node_193";0;0;0;0;1;0;1;0;0;1;0;0
"D21_node_524";0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_816";0;0;0;0;0;0;0;0;1;0;0;0
"D21_node_897";0;1;0;0;0;0;0;0;0;1;0;0
"D21_node_955";0;0;0;0;0;0;0;0;0;0;1;0
"D21_node_1016";1;0;0;0;1;0;0;0;1;0;0;1
"D21_node_1167";0;0;1;1;1;0;1;0;0;0;0;0
"D21_node_1196";0;0;1;0;0;0;0;0;0;0;0;1
"D21_node_1198";0;0;0;0;1;0;0;1;0;0;0;0
"D21_node_1218";0;1;0;1;1;0;1;0;0;0;0;1
"D21_node_1339";0;0;0;1;1;0;0;0;0;0;0;0
"D21_node_1388";0;0;1;0;0;0;0;0;0;0;1;0
"D21_node_1390";0;0;0;0;0;0;0;1;0;0;0;0
