"";"D21_node_1150";"D21_node_682";"D21_node_1329";"D21_node_68";"D21_node_1046";"D21_node_507";"D21_node_1039";"D21_node_797";"D21_node_87";"D21_node_92";"D21_node_502"
"D21_node_738";1;0;0;0;0;0;0;0;0;0;0
"D21_node_22";0;1;0;0;0;0;0;0;0;0;0
"D21_node_28";0;0;1;1;0;0;0;0;0;0;0
"D21_node_32";0;0;0;1;0;0;0;0;0;0;0
"D21_node_151";0;0;0;0;1;0;0;0;1;0;0
"D21_node_937";0;0;0;0;0;1;0;0;0;1;0
"D21_node_246";0;0;0;0;0;0;1;0;0;0;0
"D21_node_923";0;0;0;0;0;0;0;1;0;0;0
"D21_node_930";0;0;0;0;0;0;0;0;1;1;0
"D21_node_935";0;0;0;0;0;0;0;0;0;1;0
"D21_node_1144";0;0;0;0;0;1;0;0;0;0;1
"D21_node_1146";0;0;0;0;1;0;0;0;0;1;0
"D21_node_1147";1;0;0;0;0;0;0;0;0;0;0
"D21_node_1345";1;0;0;0;0;0;0;0;0;0;1
"D21_node_1346";0;0;0;0;1;0;0;1;0;0;0
"D21_node_1356";0;0;1;0;0;0;0;0;0;0;0
"D21_node_1405";0;0;0;0;0;0;0;0;0;1;0
"D21_node_1407";0;0;0;0;0;0;0;1;0;0;1
"D21_node_1408";0;0;0;0;0;0;1;0;1;0;0
"D21_node_1415";0;0;0;0;0;0;1;0;1;0;0
"D21_node_1417";1;0;0;0;0;0;0;0;0;0;0
"D21_node_1418";0;0;1;0;1;0;1;0;0;0;0
"D21_node_1419";0;0;0;0;0;0;0;1;0;0;0
"D21_node_194";0;0;0;0;1;0;0;0;0;1;0
"D21_node_392";0;0;0;0;0;0;0;1;0;1;1
"D21_node_413";0;0;0;0;0;0;0;1;0;0;0
"D21_node_491";0;0;0;0;1;0;0;0;0;0;0
"D21_node_907";0;0;0;0;1;0;0;0;1;0;0
"D21_node_908";0;0;1;1;0;0;0;0;0;0;1
"D21_node_910";0;0;0;0;0;1;0;0;0;1;0
"D21_node_614";1;0;1;0;0;1;0;1;0;0;0
"D21_node_644";0;0;0;0;0;1;1;0;0;0;0
"D21_node_620";0;0;0;0;1;0;1;0;0;0;0
"D21_node_273";0;0;0;0;0;1;0;1;0;0;0
"D21_node_1111";0;0;1;0;0;0;0;0;0;0;0
"D21_node_1230";0;1;0;0;0;0;0;0;0;0;0
"D21_node_860";0;0;0;0;0;1;0;0;0;0;0
"D21_node_834";0;0;0;0;0;0;0;0;0;0;1
"D21_node_1126";0;1;0;0;0;0;0;0;0;0;1
"D21_node_1125";0;1;0;0;0;0;0;0;0;0;0
