"";"M22_node_1130";"M22_node_2391";"M22_node_2406";"M22_node_607";"M22_node_2246";"M22_node_2255";"M22_node_2281";"M22_node_1659";"M22_node_1781";"M22_node_2056";"M22_node_2515";"M22_node_2505";"M22_node_562";"M22_node_1377";"M22_node_2472";"M22_node_1638";"M22_node_469";"M22_node_586";"M22_node_1635";"M22_node_320";"M22_node_1425";"M22_node_600";"M22_node_528";"M22_node_702";"M22_node_1434";"M22_node_1129";"M22_node_940";"M22_node_250";"M22_node_2480";"M22_node_2481";"M22_node_724";"M22_node_1440";"M22_node_2418";"M22_node_2419";"M22_node_2380";"M22_node_2455";"M22_node_1884";"M22_node_2300";"M22_node_470";"M22_node_1227";"M22_node_2437";"M22_node_1585";"M22_node_1586";"M22_node_1427"
"M22_node_26";1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0
"M22_node_214";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"M22_node_343";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
"M22_node_1146";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_2089";0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1
"M22_node_2237";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0
"M22_node_1857";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1
"M22_node_932";0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"M22_node_2037";0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
"M22_node_512";0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1183";0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0
"M22_node_281";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_744";0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0
"M22_node_1674";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
