"";"M22_node_2391";"M22_node_2255";"M22_node_97";"M22_node_607";"M22_node_700";"M22_node_2406";"M22_node_702";"M22_node_705";"M22_node_2379";"M22_node_291";"M22_node_2056";"M22_node_973";"M22_node_1718";"M22_node_701";"M22_node_1382";"M22_node_1435";"M22_node_2281";"M22_node_2275";"M22_node_1979";"M22_node_2380";"M22_node_1978";"M22_node_2300";"M22_node_2247";"M22_node_777";"M22_node_465";"M22_node_724";"M22_node_2055";"M22_node_2363";"M22_node_1224";"M22_node_784";"M22_node_756";"M22_node_1981";"M22_node_2090";"M22_node_2327";"M22_node_581";"M22_node_2409";"M22_node_704";"M22_node_2455";"M22_node_1434";"M22_node_1126";"M22_node_586";"M22_node_1425";"M22_node_600";"M22_node_2314";"M22_node_778";"M22_node_1639";"M22_node_2191";"M22_node_2189";"M22_node_2086";"M22_node_282";"M22_node_1502";"M22_node_1765";"M22_node_475";"M22_node_1781";"M22_node_1774";"M22_node_1509";"M22_node_451";"M22_node_1659";"M22_node_2418";"M22_node_166";"M22_node_1427";"M22_node_2305";"M22_node_127";"M22_node_2375";"M22_node_2419";"M22_node_2319"
"M22_node_934";1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"M22_node_2482";0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0
"M22_node_641";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0
"M22_node_1860";0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"M22_node_42";0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0
"M22_node_2013";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
"M22_node_1705";0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"M22_node_1903";0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"M22_node_1292";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1
"M22_node_1330";0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"M22_node_1412";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0
