"";"P22_node_9322";"P22_node_5354";"P22_node_11096";"P22_node_11097";"P22_node_10354";"P22_node_11098";"P22_node_10746";"P22_node_11099";"P22_node_11100";"P22_node_11101";"P22_node_11102";"P22_node_7123";"P22_node_11103";"P22_node_11104";"P22_node_9475";"P22_node_10772";"P22_node_10969";"P22_node_11105"
"P22_node_2345";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"P22_node_1238";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"P22_node_2346";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2347";0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"P22_node_2348";0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
"P22_node_1499";1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0
"P22_node_2349";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2350";0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0
"P22_node_2351";0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"P22_node_2352";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"P22_node_2353";1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0
"P22_node_2354";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2355";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_2356";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_2357";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2358";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"P22_node_2359";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"P22_node_2360";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"P22_node_2361";0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2362";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2363";0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0
"P22_node_2364";0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0
"P22_node_2365";0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1
"P22_node_2366";0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
"P22_node_2367";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"P22_node_2368";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_488";0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
"P22_node_2369";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
"P22_node_2370";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"P22_node_540";0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"P22_node_1240";0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0
"P22_node_2371";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_543";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"P22_node_545";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1160";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2372";1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_2373";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
