"";"P22_node_5306";"P22_node_11185";"P22_node_10640";"P22_node_5354";"P22_node_5363";"P22_node_11396";"P22_node_5364";"P22_node_11389";"P22_node_11390";"P22_node_5374";"P22_node_5377";"P22_node_9600";"P22_node_5237";"P22_node_11407";"P22_node_11345";"P22_node_11408";"P22_node_5504";"P22_node_11409";"P22_node_11410"
"P22_node_2475";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
"P22_node_2474";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"P22_node_2496";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"P22_node_2454";0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2497";0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
"P22_node_2493";0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2482";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1350";1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
"P22_node_2472";0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"P22_node_2498";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_150";0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1
"P22_node_231";0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0
