"";"P22_node_12468";"P22_node_12469";"P22_node_12470";"P22_node_12471";"P22_node_12472";"P22_node_10396";"P22_node_12473";"P22_node_10449";"P22_node_12474";"P22_node_12475";"P22_node_10354";"P22_node_10417";"P22_node_12476";"P22_node_12477";"P22_node_10389";"P22_node_12478";"P22_node_12479";"P22_node_12480";"P22_node_12481";"P22_node_12482";"P22_node_12483";"P22_node_12484";"P22_node_10346";"P22_node_12485";"P22_node_12486";"P22_node_12487";"P22_node_12488";"P22_node_12489";"P22_node_12490";"P22_node_10416";"P22_node_12491";"P22_node_12492";"P22_node_12493";"P22_node_12494";"P22_node_12334";"P22_node_12495";"P22_node_12496";"P22_node_12497";"P22_node_12498";"P22_node_5835";"P22_node_12499";"P22_node_6039";"P22_node_6040";"P22_node_5158";"P22_node_10376";"P22_node_12500";"P22_node_12501";"P22_node_10436";"P22_node_12502"
"P22_node_3052";1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3053";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_282";1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3054";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0
"P22_node_3055";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_1533";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_3056";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3057";0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3058";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3059";0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
