"";"P22_node_7087";"P22_node_7088";"P22_node_7089";"P22_node_5354";"P22_node_7090";"P22_node_7091";"P22_node_7092";"P22_node_6902";"P22_node_5385";"P22_node_7093";"P22_node_7094";"P22_node_7095";"P22_node_5142";"P22_node_7096";"P22_node_7097";"P22_node_7098";"P22_node_7099";"P22_node_7100";"P22_node_7101";"P22_node_7102";"P22_node_7103";"P22_node_7104";"P22_node_7105";"P22_node_7106";"P22_node_5438";"P22_node_7107";"P22_node_7077";"P22_node_7108";"P22_node_7109";"P22_node_7110";"P22_node_7111";"P22_node_7112";"P22_node_7113";"P22_node_7114";"P22_node_7115";"P22_node_7116";"P22_node_7117";"P22_node_7118";"P22_node_7119";"P22_node_7120";"P22_node_7121";"P22_node_7122";"P22_node_5444";"P22_node_7123";"P22_node_6845";"P22_node_7124";"P22_node_7125";"P22_node_7126";"P22_node_7127";"P22_node_7128";"P22_node_7129";"P22_node_7130";"P22_node_7131"
"P22_node_671";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_672";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_673";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
"P22_node_674";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_675";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_676";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_677";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_678";0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_679";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"P22_node_680";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
