"";"P22_node_8461";"P22_node_8462";"P22_node_8463";"P22_node_7039";"P22_node_8464";"P22_node_7229";"P22_node_8465";"P22_node_5340";"P22_node_5354";"P22_node_5238";"P22_node_7515";"P22_node_8466";"P22_node_8467";"P22_node_8468";"P22_node_7729";"P22_node_7728";"P22_node_7688";"P22_node_8469";"P22_node_8470";"P22_node_8471";"P22_node_5274";"P22_node_8472";"P22_node_8473";"P22_node_8474";"P22_node_8475";"P22_node_5291";"P22_node_8476";"P22_node_5293";"P22_node_8477";"P22_node_5295";"P22_node_8244";"P22_node_8478";"P22_node_5444";"P22_node_5553"
"P22_node_1129";1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1
"P22_node_1130";1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_1131";0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1
"P22_node_1132";0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0
"P22_node_1133";1;0;0;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0
"P22_node_1134";0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
"P22_node_1135";0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0
"P22_node_1136";0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
"P22_node_1137";1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"P22_node_1138";0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0
"P22_node_1139";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1
"P22_node_1140";0;1;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
"P22_node_1141";0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
