"";"P22_node_5592";"P22_node_5198";"P22_node_8562";"P22_node_8563";"P22_node_8564";"P22_node_8565";"P22_node_5339";"P22_node_5354";"P22_node_5766";"P22_node_5877";"P22_node_5597";"P22_node_8566";"P22_node_8567";"P22_node_8568";"P22_node_8569";"P22_node_5783";"P22_node_8570";"P22_node_5600";"P22_node_8571";"P22_node_5602";"P22_node_8572";"P22_node_5808";"P22_node_5424";"P22_node_8573";"P22_node_5832";"P22_node_5609";"P22_node_8574";"P22_node_5849";"P22_node_6973";"P22_node_6974";"P22_node_8575";"P22_node_6052";"P22_node_8576";"P22_node_8577";"P22_node_8578";"P22_node_5879";"P22_node_5881";"P22_node_8579";"P22_node_6063";"P22_node_8580";"P22_node_8581";"P22_node_8582";"P22_node_8583";"P22_node_8584";"P22_node_5506";"P22_node_6957";"P22_node_6675";"P22_node_8585";"P22_node_8586";"P22_node_8587";"P22_node_5624";"P22_node_8588";"P22_node_5626";"P22_node_8589"
"P22_node_1156";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1157";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1158";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1159";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1160";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
"P22_node_1161";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1162";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1163";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
"P22_node_1164";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1165";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
