"";"P22_node_15189";"P22_node_15198";"P22_node_5354";"P22_node_15208";"P22_node_15209";"P22_node_15210";"P22_node_15195";"P22_node_15201";"P22_node_15211";"P22_node_15163";"P22_node_15168";"P22_node_15200";"P22_node_15212";"P22_node_15205";"P22_node_15213";"P22_node_15176";"P22_node_15188";"P22_node_15173";"P22_node_15172";"P22_node_15185";"P22_node_15203";"P22_node_15214";"P22_node_15215";"P22_node_15216";"P22_node_15217";"P22_node_15178";"P22_node_15164";"P22_node_15169";"P22_node_15218";"P22_node_15197"
"P22_node_563";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0
"P22_node_4365";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3875";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"P22_node_1949";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
"P22_node_4362";0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"P22_node_891";0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
"P22_node_1614";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"P22_node_4363";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_495";0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_4358";0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
