"";"P22_node_9457";"P22_node_9704";"P22_node_9702";"P22_node_9705";"P22_node_9764";"P22_node_5354";"P22_node_9707";"P22_node_9709";"P22_node_9711";"P22_node_9713";"P22_node_9714";"P22_node_9768";"P22_node_9718";"P22_node_9720";"P22_node_9724";"P22_node_9725";"P22_node_9727";"P22_node_9728";"P22_node_9729";"P22_node_9786";"P22_node_9734";"P22_node_9737";"P22_node_9738";"P22_node_6382";"P22_node_9821";"P22_node_9703";"P22_node_5612";"P22_node_9742";"P22_node_9743";"P22_node_9744";"P22_node_9745";"P22_node_9747";"P22_node_9748";"P22_node_9749";"P22_node_9750";"P22_node_9830";"P22_node_9795";"P22_node_9796";"P22_node_9751";"P22_node_9752";"P22_node_9798";"P22_node_9756";"P22_node_9759";"P22_node_9760";"P22_node_9762";"P22_node_9763";"P22_node_5198";"P22_node_9814"
"P22_node_1587";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1589";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1590";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1610";0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
"P22_node_1640";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
"P22_node_1592";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_596";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
"P22_node_1605";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"P22_node_1626";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1602";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
