"";"P22_node_9946";"P22_node_10011";"P22_node_9195";"P22_node_5544";"P22_node_9967";"P22_node_8931";"P22_node_10012";"P22_node_10013";"P22_node_10014";"P22_node_10007";"P22_node_8785";"P22_node_8999";"P22_node_9126";"P22_node_9194";"P22_node_9949";"P22_node_9934";"P22_node_10015";"P22_node_5288";"P22_node_5701";"P22_node_10016";"P22_node_9286";"P22_node_10017";"P22_node_5768";"P22_node_9865";"P22_node_10018";"P22_node_10019";"P22_node_10020";"P22_node_10021";"P22_node_9892";"P22_node_10022";"P22_node_9894";"P22_node_6966";"P22_node_10023";"P22_node_8998";"P22_node_9000";"P22_node_10024";"P22_node_9895";"P22_node_10025";"P22_node_10026";"P22_node_10027";"P22_node_8794";"P22_node_9975";"P22_node_9003";"P22_node_5382";"P22_node_9898";"P22_node_9900";"P22_node_9874";"P22_node_9947";"P22_node_10028";"P22_node_10029";"P22_node_9953";"P22_node_10030";"P22_node_10031";"P22_node_9040";"P22_node_9979";"P22_node_8587";"P22_node_9980";"P22_node_10032";"P22_node_10033";"P22_node_10034";"P22_node_10035";"P22_node_10036";"P22_node_9956";"P22_node_5802";"P22_node_10037";"P22_node_5859";"P22_node_9078";"P22_node_9916";"P22_node_10038";"P22_node_10039";"P22_node_9985";"P22_node_10040";"P22_node_9089";"P22_node_10041";"P22_node_10042";"P22_node_10043";"P22_node_6971";"P22_node_6972";"P22_node_9921";"P22_node_9988";"P22_node_10044";"P22_node_10045";"P22_node_9147";"P22_node_9926";"P22_node_10046";"P22_node_5691";"P22_node_5853";"P22_node_9159";"P22_node_10047";"P22_node_9931";"P22_node_10048";"P22_node_9193";"P22_node_9197";"P22_node_10049";"P22_node_10050";"P22_node_10051";"P22_node_5704";"P22_node_9199";"P22_node_5286";"P22_node_9937";"P22_node_5877";"P22_node_7016";"P22_node_9204";"P22_node_9992";"P22_node_10052";"P22_node_9210";"P22_node_10053";"P22_node_7020";"P22_node_9230";"P22_node_8179";"P22_node_10054";"P22_node_7021";"P22_node_9239";"P22_node_9240";"P22_node_10055";"P22_node_10056";"P22_node_7022";"P22_node_8244";"P22_node_6609";"P22_node_10057";"P22_node_10058";"P22_node_5731";"P22_node_9995";"P22_node_9263";"P22_node_9264";"P22_node_5734";"P22_node_9218";"P22_node_10059";"P22_node_10060";"P22_node_10061";"P22_node_5535";"P22_node_10062";"P22_node_9983";"P22_node_9073";"P22_node_10063";"P22_node_9295";"P22_node_5912";"P22_node_5198";"P22_node_9961";"P22_node_10064";"P22_node_10065";"P22_node_10066";"P22_node_9982";"P22_node_9308";"P22_node_10067"
"P22_node_264";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"P22_node_1377";0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_180";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1682";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_1729";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1693";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1730";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1673";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1731";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_251";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
