"";"WOL_node_1046";"WOL_node_1049";"WOL_node_2781";"WOL_node_3521";"WOL_node_4325";"WOL_node_7993";"WOL_node_7999";"WOL_node_8243";"WOL_node_10262";"WOL_node_11665"
"WOL_node_3614";1;0;0;0;0;0;0;1;1;0
"WOL_node_3616";1;1;1;1;0;1;1;0;0;0
"WOL_node_3622";0;0;1;0;0;1;0;0;0;0
"WOL_node_3624";0;0;0;1;0;1;1;0;0;0
"WOL_node_6382";0;1;1;1;1;1;0;0;1;0
"WOL_node_6972";1;1;1;0;0;1;1;0;0;1
"WOL_node_7580";0;1;0;0;0;0;1;1;0;0
"WOL_node_8242";0;0;0;0;0;0;0;1;0;0
"WOL_node_8612";0;0;0;0;1;0;0;0;1;0
"WOL_node_529";1;1;0;0;0;0;1;0;1;1
"WOL_node_539";0;0;0;0;0;0;0;0;1;1
"WOL_node_2466";0;1;0;1;0;0;0;0;0;1
"WOL_node_3617";0;0;0;1;0;0;1;1;1;0
"WOL_node_6383";0;1;1;0;0;0;0;0;0;1
"WOL_node_6974";1;0;0;0;1;0;1;1;0;0
"WOL_node_9120";1;0;0;0;0;0;0;0;0;0
"WOL_node_10759";1;0;0;0;0;0;1;0;0;1
"WOL_node_418";1;0;0;0;0;0;1;1;1;0
