"";"WOL_node_2056";"WOL_node_6648";"WOL_node_10108";"WOL_node_1041";"WOL_node_1233";"WOL_node_2391";"WOL_node_4922";"WOL_node_4929";"WOL_node_9064";"WOL_node_10961";"WOL_node_10962";"WOL_node_11327";"WOL_node_11600";"WOL_node_15328";"WOL_node_3298";"WOL_node_2098";"WOL_node_3321";"WOL_node_4762";"WOL_node_5803";"WOL_node_6014";"WOL_node_6321";"WOL_node_7101";"WOL_node_7306";"WOL_node_7393";"WOL_node_10123";"WOL_node_15333";"WOL_node_15336";"WOL_node_11644";"WOL_node_11122";"WOL_node_12102"
"WOL_node_2431";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_1360";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10590";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_1365";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"WOL_node_6689";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"WOL_node_6697";1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_6728";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"WOL_node_6805";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6682";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"WOL_node_1685";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
"WOL_node_3126";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_1370";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"WOL_node_6766";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_1671";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
