"";"mangal_node_3400";"mangal_node_0090";"mangal_node_3396";"mangal_node_3402";"mangal_node_3318";"mangal_node_3403";"mangal_node_3401";"mangal_node_3404";"mangal_node_3316";"mangal_node_3439"
"mangal_node_3390";1;1;0;1;0;0;1;0;0;0
"mangal_node_3459";0;1;1;0;0;1;0;0;1;1
"mangal_node_3387";0;1;1;0;0;0;1;0;0;0
"mangal_node_3393";1;1;0;1;0;0;0;1;0;1
"mangal_node_3458";1;1;0;0;1;1;0;1;0;1
"mangal_node_3405";0;1;1;1;0;1;0;1;0;0
"mangal_node_3456";1;0;0;1;1;0;1;1;1;0
"mangal_node_3388";0;0;1;1;0;0;0;1;0;0
"mangal_node_3417";1;1;0;0;1;1;0;0;1;1
"mangal_node_3406";0;0;1;1;0;0;1;0;1;1
"mangal_node_3492";0;0;0;0;1;0;1;0;0;0
