"";"gateway_node_146";"gateway_node_189";"gateway_node_239";"gateway_node_266";"gateway_node_290";"gateway_node_303";"gateway_node_304";"gateway_node_394";"gateway_node_432";"gateway_node_438";"gateway_node_459";"gateway_node_460";"gateway_node_522";"gateway_node_539";"gateway_node_543";"gateway_node_602";"gateway_node_623";"gateway_node_624";"gateway_node_625";"gateway_node_626";"gateway_node_627";"gateway_node_628";"gateway_node_647";"gateway_node_657";"gateway_node_659";"gateway_node_660";"gateway_node_676";"gateway_node_677";"gateway_node_678";"gateway_node_690";"gateway_node_691";"gateway_node_707";"gateway_node_708";"gateway_node_710";"gateway_node_715";"gateway_node_769";"gateway_node_776";"gateway_node_808";"gateway_node_863";"gateway_node_915";"gateway_node_929";"gateway_node_982";"gateway_node_1030";"gateway_node_1035";"gateway_node_1065";"gateway_node_1152";"gateway_node_1172";"gateway_node_1196";"gateway_node_1223";"gateway_node_1286";"gateway_node_1287";"gateway_node_1356";"gateway_node_1385";"gateway_node_1386";"gateway_node_1389";"gateway_node_1467";"gateway_node_1469";"gateway_node_1559";"gateway_node_1601";"gateway_node_1659";"gateway_node_1662";"gateway_node_1677";"gateway_node_1682";"gateway_node_1691";"gateway_node_1705";"gateway_node_1733";"gateway_node_1777";"gateway_node_1923";"gateway_node_1924";"gateway_node_1939";"gateway_node_1952";"gateway_node_1953";"gateway_node_1971";"gateway_node_1981";"gateway_node_1989";"gateway_node_2057";"gateway_node_2131";"gateway_node_2180";"gateway_node_2188";"gateway_node_2192";"gateway_node_2194";"gateway_node_2213";"gateway_node_2258";"gateway_node_2276";"gateway_node_2290";"gateway_node_2297";"gateway_node_2323";"gateway_node_2334";"gateway_node_2441";"gateway_node_2442";"gateway_node_2471";"gateway_node_2531";"gateway_node_2544";"gateway_node_2569";"gateway_node_2580";"gateway_node_2590";"gateway_node_2611";"gateway_node_2619";"gateway_node_2650";"gateway_node_2672";"gateway_node_2708";"gateway_node_2715";"gateway_node_2716";"gateway_node_2779";"gateway_node_2823";"gateway_node_2825";"gateway_node_2836";"gateway_node_2842";"gateway_node_2868";"gateway_node_2872";"gateway_node_2874";"gateway_node_2912";"gateway_node_2924";"gateway_node_2925";"gateway_node_2954";"gateway_node_2970";"gateway_node_2971";"gateway_node_2974";"gateway_node_2991";"gateway_node_2992";"gateway_node_3005";"gateway_node_3033";"gateway_node_3034";"gateway_node_3050";"gateway_node_3110";"gateway_node_3112";"gateway_node_3138";"gateway_node_3141";"gateway_node_3146";"gateway_node_3148";"gateway_node_3153";"gateway_node_3170";"gateway_node_3178";"gateway_node_3290";"gateway_node_3299";"gateway_node_3301";"gateway_node_3306";"gateway_node_3381";"gateway_node_3382";"gateway_node_3405";"gateway_node_3424";"gateway_node_3432";"gateway_node_3458";"gateway_node_3470";"gateway_node_3471";"gateway_node_3472";"gateway_node_3489";"gateway_node_3493";"gateway_node_3496";"gateway_node_3525";"gateway_node_3642";"gateway_node_3657";"gateway_node_3659";"gateway_node_3699";"gateway_node_3700";"gateway_node_3701";"gateway_node_3729";"gateway_node_3824";"gateway_node_3838";"gateway_node_3843";"gateway_node_3880";"gateway_node_3954";"gateway_node_3956";"gateway_node_4011";"gateway_node_4049";"gateway_node_4087";"gateway_node_4093";"gateway_node_4155";"gateway_node_4216";"gateway_node_4219";"gateway_node_4227";"gateway_node_4254";"gateway_node_4268";"gateway_node_4276";"gateway_node_4283";"gateway_node_4334";"gateway_node_4362";"gateway_node_4363";"gateway_node_4385";"gateway_node_4443";"gateway_node_4448";"gateway_node_4451";"gateway_node_4495";"gateway_node_4496";"gateway_node_4502";"gateway_node_4518";"gateway_node_4553";"gateway_node_4571";"gateway_node_4577";"gateway_node_4609";"gateway_node_4617";"gateway_node_4618";"gateway_node_4677";"gateway_node_4689";"gateway_node_4701";"gateway_node_4702";"gateway_node_4705";"gateway_node_4759";"gateway_node_4779";"gateway_node_4825";"gateway_node_4878";"gateway_node_4879";"gateway_node_4882";"gateway_node_4898";"gateway_node_4902";"gateway_node_4904";"gateway_node_4906";"gateway_node_4907";"gateway_node_4909";"gateway_node_4924";"gateway_node_4925";"gateway_node_5018";"gateway_node_5072";"gateway_node_5110";"gateway_node_5112";"gateway_node_5175";"gateway_node_5184";"gateway_node_5200";"gateway_node_5202";"gateway_node_5203";"gateway_node_5204";"gateway_node_4498";"gateway_node_3889";"gateway_node_1732";"gateway_node_4038";"gateway_node_1934";"gateway_node_2526";"gateway_node_2527";"gateway_node_4365";"gateway_node_3952";"gateway_node_2039";"gateway_node_1086";"gateway_node_4867";"gateway_node_2041";"gateway_node_3805";"gateway_node_2038";"gateway_node_4860";"gateway_node_902";"gateway_node_1442";"gateway_node_1084";"gateway_node_3329";"gateway_node_1288";"gateway_node_910";"gateway_node_1897";"gateway_node_3239";"gateway_node_1621";"gateway_node_1450";"gateway_node_4136";"gateway_node_2132";"gateway_node_3653";"gateway_node_1360";"gateway_node_3874";"gateway_node_4212";"gateway_node_4233";"gateway_node_1369";"gateway_node_172";"gateway_node_2528";"gateway_node_1844";"gateway_node_5038";"gateway_node_984";"gateway_node_97";"gateway_node_1359";"gateway_node_658"
"gateway_node_146";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_189";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_239";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_266";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_290";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_303";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_304";0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_394";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"gateway_node_432";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_438";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
