"";"gateway_node_2409";"gateway_node_1022";"gateway_node_1326";"gateway_node_1329";"gateway_node_1380";"gateway_node_1381";"gateway_node_2496";"gateway_node_2490";"gateway_node_2491";"gateway_node_2314";"gateway_node_1988";"gateway_node_3992";"gateway_node_630";"gateway_node_1139";"gateway_node_4739";"gateway_node_1119";"gateway_node_1374";"gateway_node_1150";"gateway_node_5021";"gateway_node_3014";"gateway_node_596";"gateway_node_3475";"gateway_node_5181";"gateway_node_1233";"gateway_node_1234";"gateway_node_2909";"gateway_node_1443";"gateway_node_1446";"gateway_node_1448";"gateway_node_4595";"gateway_node_4763";"gateway_node_3247";"gateway_node_1011";"gateway_node_4429";"gateway_node_2983";"gateway_node_335";"gateway_node_3341";"gateway_node_1069";"gateway_node_637";"gateway_node_3003";"gateway_node_876"
"gateway_node_2409";1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1022";0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0
"gateway_node_1326";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"gateway_node_1329";0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
"gateway_node_1380";0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1381";0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"gateway_node_2496";0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2490";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1
"gateway_node_2491";0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2314";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
