"";"gateway_node_1381";"gateway_node_2496";"gateway_node_3993";"gateway_node_3992";"gateway_node_4965";"gateway_node_630";"gateway_node_1150";"gateway_node_5021";"gateway_node_3014";"gateway_node_1274";"gateway_node_4030";"gateway_node_3475";"gateway_node_1233";"gateway_node_1234";"gateway_node_2909";"gateway_node_1692";"gateway_node_1448";"gateway_node_4595";"gateway_node_465";"gateway_node_4421";"gateway_node_1069";"gateway_node_3777"
"gateway_node_1381";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"gateway_node_2496";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_3993";0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_3992";0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1
"gateway_node_4965";0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0
"gateway_node_630";0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"gateway_node_1150";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5021";0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_3014";1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1
"gateway_node_1274";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0
"gateway_node_4030";0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0
"gateway_node_3475";0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0
"gateway_node_1233";0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_1234";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_2909";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
"gateway_node_1692";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"gateway_node_1448";1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0
"gateway_node_4595";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_465";1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"gateway_node_4421";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1
"gateway_node_1069";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"gateway_node_3777";1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1
