"";"gateway_node_1847";"gateway_node_1022";"gateway_node_1383";"gateway_node_1326";"gateway_node_1380";"gateway_node_1381";"gateway_node_2496";"gateway_node_4967";"gateway_node_1988";"gateway_node_4965";"gateway_node_630";"gateway_node_1139";"gateway_node_4739";"gateway_node_1374";"gateway_node_1150";"gateway_node_1715";"gateway_node_3014";"gateway_node_4380";"gateway_node_4030";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1233";"gateway_node_1234";"gateway_node_2909";"gateway_node_1692";"gateway_node_1443";"gateway_node_1448";"gateway_node_4595";"gateway_node_4763";"gateway_node_3247";"gateway_node_4429";"gateway_node_4421";"gateway_node_1069";"gateway_node_1414";"gateway_node_637";"gateway_node_3003";"gateway_node_5236";"gateway_node_3196"
"gateway_node_1847";1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0
"gateway_node_1022";0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_1383";0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_1326";1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0
"gateway_node_1380";0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"gateway_node_1381";0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_2496";0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_4967";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_1988";0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
"gateway_node_4965";0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
