"";"gateway_node_2409";"gateway_node_1847";"gateway_node_2606";"gateway_node_199";"gateway_node_1022";"gateway_node_1698";"gateway_node_2493";"gateway_node_2496";"gateway_node_1326";"gateway_node_2490";"gateway_node_1381";"gateway_node_1274";"gateway_node_457";"gateway_node_2585";"gateway_node_450";"gateway_node_1141";"gateway_node_3994";"gateway_node_4967";"gateway_node_1988";"gateway_node_3992";"gateway_node_4965";"gateway_node_3118";"gateway_node_630";"gateway_node_1139";"gateway_node_2494";"gateway_node_1702";"gateway_node_1703";"gateway_node_4739";"gateway_node_1119";"gateway_node_1150";"gateway_node_3356";"gateway_node_596";"gateway_node_1233";"gateway_node_1234";"gateway_node_1845";"gateway_node_4303";"gateway_node_2133";"gateway_node_2909";"gateway_node_4640";"gateway_node_1885";"gateway_node_1443";"gateway_node_3247";"gateway_node_4837";"gateway_node_1194";"gateway_node_4421";"gateway_node_637";"gateway_node_296";"gateway_node_3196";"gateway_node_3777";"gateway_node_3780";"gateway_node_1720";"gateway_node_4756"
"gateway_node_2409";1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_1847";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_2606";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"gateway_node_199";0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_1022";0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_1698";0;0;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1
"gateway_node_2493";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_2496";0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
"gateway_node_1326";0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2490";0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1381";0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_1274";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
