"";"gateway_node_243";"gateway_node_963";"gateway_node_2367";"gateway_node_2448";"gateway_node_2648";"gateway_node_3946";"gateway_node_4547";"gateway_node_4551";"gateway_node_4784";"gateway_node_4373";"gateway_node_1200";"gateway_node_1878";"gateway_node_1400";"gateway_node_1739";"gateway_node_1743";"gateway_node_1747";"gateway_node_1879";"gateway_node_3789";"gateway_node_3906";"gateway_node_4764";"gateway_node_3435"
"gateway_node_243";1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
"gateway_node_963";0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0
"gateway_node_2367";0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1
"gateway_node_2448";1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0
"gateway_node_2648";0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0
"gateway_node_3946";0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0
"gateway_node_4547";1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1
"gateway_node_4551";0;0;0;0;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;0;0
"gateway_node_4784";1;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;0;0;1
"gateway_node_4373";1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0
"gateway_node_1200";0;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0
"gateway_node_1878";1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1
"gateway_node_1400";1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0
"gateway_node_1739";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0
"gateway_node_1743";1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0
"gateway_node_1747";0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0
"gateway_node_1879";1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1
"gateway_node_3789";0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;0
"gateway_node_3906";0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0
"gateway_node_4764";0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1
"gateway_node_3435";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
