"";"gateway_node_4410";"gateway_node_683";"gateway_node_2237";"gateway_node_3936";"gateway_node_3267";"gateway_node_5232";"gateway_node_3654";"gateway_node_4598";"gateway_node_4779";"gateway_node_672";"gateway_node_3149";"gateway_node_4001";"gateway_node_3435";"gateway_node_3498";"gateway_node_31";"gateway_node_3898";"gateway_node_4560";"gateway_node_1354";"gateway_node_4053";"gateway_node_1455";"gateway_node_1531";"gateway_node_971";"gateway_node_249";"gateway_node_2990";"gateway_node_3598";"gateway_node_945";"gateway_node_4997";"gateway_node_132";"gateway_node_1652";"gateway_node_3088";"gateway_node_280";"gateway_node_3890";"gateway_node_667";"gateway_node_828";"gateway_node_1102";"gateway_node_2190";"gateway_node_2191";"gateway_node_4158";"gateway_node_1046";"gateway_node_1429";"gateway_node_5121";"gateway_node_5066";"gateway_node_98";"gateway_node_977";"gateway_node_2129";"gateway_node_3573";"gateway_node_2468";"gateway_node_2114";"gateway_node_2116";"gateway_node_1436";"gateway_node_3628";"gateway_node_2324";"gateway_node_4395";"gateway_node_4397";"gateway_node_1103";"gateway_node_2186";"gateway_node_779";"gateway_node_4218"
"gateway_node_4410";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
"gateway_node_683";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_2237";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3936";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_3267";0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0
"gateway_node_5232";0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3654";0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_4598";0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1
"gateway_node_4779";0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1
"gateway_node_672";1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3149";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0
