"";"gateway_node_4804";"gateway_node_5232";"gateway_node_4001";"gateway_node_1972";"gateway_node_3643";"gateway_node_3647";"gateway_node_1858";"gateway_node_4694";"gateway_node_1730";"gateway_node_2160";"gateway_node_4409";"gateway_node_4779";"gateway_node_2411";"gateway_node_249";"gateway_node_3435";"gateway_node_355";"gateway_node_3890";"gateway_node_827";"gateway_node_826";"gateway_node_829";"gateway_node_5063";"gateway_node_3629";"gateway_node_4588";"gateway_node_839";"gateway_node_33";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_2113";"gateway_node_2117";"gateway_node_3959"
"gateway_node_4804";1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0
"gateway_node_5232";0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1;0;0
"gateway_node_4001";0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1
"gateway_node_1972";0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0
"gateway_node_3643";1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0
"gateway_node_3647";1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0
"gateway_node_1858";0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_4694";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
"gateway_node_1730";1;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;0
"gateway_node_2160";0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1
"gateway_node_4409";0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0
"gateway_node_4779";1;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0
"gateway_node_2411";1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"gateway_node_249";0;1;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1
"gateway_node_3435";0;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"gateway_node_355";0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;1
"gateway_node_3890";0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_827";0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0
"gateway_node_826";1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;0;0
"gateway_node_829";0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;0;1;1
"gateway_node_5063";0;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1
"gateway_node_3629";0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1
"gateway_node_4588";1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1
"gateway_node_839";0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1
"gateway_node_33";0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1
"gateway_node_1156";0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1
"gateway_node_2769";1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;1;0
"gateway_node_2384";1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0
"gateway_node_2113";0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0
"gateway_node_2117";0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;1;0
"gateway_node_3959";1;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1
