"";"gateway_node_5232";"gateway_node_2229";"gateway_node_4804";"gateway_node_643";"gateway_node_4001";"gateway_node_1972";"gateway_node_3643";"gateway_node_1858";"gateway_node_4779";"gateway_node_3435";"gateway_node_1730";"gateway_node_3264";"gateway_node_3890";"gateway_node_667";"gateway_node_839";"gateway_node_33";"gateway_node_631";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_2113";"gateway_node_2117";"gateway_node_3957"
"gateway_node_5232";1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;0
"gateway_node_2229";0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1
"gateway_node_4804";1;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0
"gateway_node_643";0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0
"gateway_node_4001";0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_1972";1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1
"gateway_node_3643";0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
"gateway_node_1858";0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0
"gateway_node_4779";0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1
"gateway_node_3435";0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0
"gateway_node_1730";0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_3264";1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;0
"gateway_node_3890";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0
"gateway_node_667";0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_839";0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0
"gateway_node_33";0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_631";0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
"gateway_node_1156";0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0
"gateway_node_2769";0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
"gateway_node_2384";0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;1;0;1
"gateway_node_2113";0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_2117";0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0
"gateway_node_3957";0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1
