"";"gateway_node_2718";"gateway_node_2719";"gateway_node_2079";"gateway_node_4001";"gateway_node_3379";"gateway_node_2423";"gateway_node_3201";"gateway_node_1471";"gateway_node_3646";"gateway_node_3645";"gateway_node_5232";"gateway_node_548";"gateway_node_4062";"gateway_node_1543";"gateway_node_1972";"gateway_node_3499";"gateway_node_636";"gateway_node_3147";"gateway_node_3185";"gateway_node_4988";"gateway_node_1017";"gateway_node_113";"gateway_node_3264";"gateway_node_3435";"gateway_node_3795";"gateway_node_4052";"gateway_node_4779";"gateway_node_3665";"gateway_node_3673";"gateway_node_22";"gateway_node_2592";"gateway_node_970";"gateway_node_2618";"gateway_node_2031";"gateway_node_4335";"gateway_node_563";"gateway_node_356";"gateway_node_3461";"gateway_node_4598";"gateway_node_2795";"gateway_node_282";"gateway_node_1840";"gateway_node_1653";"gateway_node_5040";"gateway_node_2939";"gateway_node_3890";"gateway_node_5063";"gateway_node_1043";"gateway_node_1125";"gateway_node_606";"gateway_node_1314";"gateway_node_4590";"gateway_node_456";"gateway_node_2769";"gateway_node_2000";"gateway_node_1378";"gateway_node_4366";"gateway_node_1432";"gateway_node_1427";"gateway_node_1571"
"gateway_node_2718";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0
"gateway_node_2719";0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_2079";0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_4001";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_3379";0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1
"gateway_node_2423";0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_3201";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_1471";1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1
"gateway_node_3646";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0
"gateway_node_3645";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1
"gateway_node_5232";1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0
"gateway_node_548";0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0
"gateway_node_4062";0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0
"gateway_node_1543";0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0
"gateway_node_1972";0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_3499";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_636";0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
"gateway_node_3147";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3185";0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1
