"";"gateway_node_4001";"gateway_node_5232";"gateway_node_1789";"gateway_node_4561";"gateway_node_3186";"gateway_node_2221";"gateway_node_1978";"gateway_node_3844";"gateway_node_3435";"gateway_node_544";"gateway_node_2775";"gateway_node_2777";"gateway_node_2778";"gateway_node_4831";"gateway_node_3264";"gateway_node_3845";"gateway_node_3890";"gateway_node_5231";"gateway_node_5067";"gateway_node_1932";"gateway_node_3793";"gateway_node_984";"gateway_node_4258";"gateway_node_4313";"gateway_node_323";"gateway_node_1050";"gateway_node_1411"
"gateway_node_4001";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1
"gateway_node_5232";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"gateway_node_1789";0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"gateway_node_4561";0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0
"gateway_node_3186";1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
"gateway_node_2221";1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"gateway_node_1978";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3844";0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_3435";1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0
"gateway_node_544";1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0
"gateway_node_2775";1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0
"gateway_node_2777";0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2778";1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1
"gateway_node_4831";0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0
"gateway_node_3264";0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_3845";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3890";1;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0
"gateway_node_5231";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0
"gateway_node_5067";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_1932";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1
"gateway_node_3793";0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0
"gateway_node_984";0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
"gateway_node_4258";0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0
"gateway_node_4313";1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0
"gateway_node_323";0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
"gateway_node_1050";0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1
"gateway_node_1411";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
