"";"mangal_node_4959";"mangal_node_2726";"mangal_node_4974";"mangal_node_4975";"mangal_node_0090";"mangal_node_4960";"mangal_node_4961";"mangal_node_4962";"mangal_node_4963";"mangal_node_2397";"mangal_node_4964";"mangal_node_4970";"mangal_node_4965";"mangal_node_4969";"mangal_node_2376";"mangal_node_2317";"mangal_node_0181";"mangal_node_4971";"mangal_node_4972";"mangal_node_4066";"mangal_node_4968";"mangal_node_4973";"mangal_node_4966";"mangal_node_4967"
"mangal_node_4959";1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0
"mangal_node_2726";1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_4974";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_4975";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"mangal_node_0090";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4960";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_4961";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_4962";0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4963";0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_2397";0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"mangal_node_4964";0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1
"mangal_node_4970";0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
"mangal_node_4965";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_4969";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"mangal_node_2376";1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0
"mangal_node_2317";0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
"mangal_node_0181";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0
"mangal_node_4971";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0
"mangal_node_4972";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"mangal_node_4066";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"mangal_node_4968";1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"mangal_node_4973";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"mangal_node_4966";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"mangal_node_4967";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
