"";"AI22_node_270";"AI22_node_2298";"AI22_node_171";"AI22_node_410";"AI22_node_613";"AI22_node_647";"AI22_node_1214";"AI22_node_1384";"AI22_node_1386";"AI22_node_1387";"AI22_node_1393";"AI22_node_1464";"AI22_node_2024";"AI22_node_2371";"AI22_node_3057";"AI22_node_3184";"AI22_node_3362";"AI22_node_1637";"AI22_node_268";"AI22_node_312";"AI22_node_313";"AI22_node_319";"AI22_node_320";"AI22_node_325";"AI22_node_326";"AI22_node_1046"
"AI22_node_3000";0;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0
"AI22_node_33";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_534";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_2115";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_1816";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"AI22_node_537";0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0
"AI22_node_1022";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_936";0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"AI22_node_80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_485";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_2832";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"AI22_node_2273";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1912";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
