"";"D21_node_11";"D21_node_51";"D21_node_346";"D21_node_607";"D21_node_347";"D21_node_313";"D21_node_154";"D21_node_439";"D21_node_350";"D21_node_351";"D21_node_940";"D21_node_299"
"D21_node_95";1;1;1;1;0;0;0;0;0;0;0;0
"D21_node_158";0;0;0;0;1;0;0;0;0;0;0;0
"D21_node_198";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_259";1;0;1;0;0;0;0;0;0;0;0;0
"D21_node_263";1;0;0;0;1;0;1;0;0;0;0;0
"D21_node_265";0;0;0;0;1;0;0;1;0;0;0;0
"D21_node_337";1;1;0;1;0;0;1;0;1;1;1;0
"D21_node_434";1;0;1;0;0;0;1;0;0;0;0;0
"D21_node_456";1;0;0;0;0;1;0;0;1;0;0;0
"D21_node_592";0;0;0;1;0;1;0;0;1;1;0;1
"D21_node_679";0;0;1;0;0;0;1;0;0;0;0;0
"D21_node_821";0;0;1;0;1;0;0;0;0;0;0;0
"D21_node_838";0;0;0;0;0;0;0;0;0;0;1;0
"D21_node_1002";1;0;1;1;1;0;1;0;0;0;1;1
"D21_node_975";0;0;1;0;1;0;0;0;0;0;0;0
"D21_node_997";1;0;1;1;1;0;1;1;0;0;1;0
"D21_node_1054";1;0;0;0;0;1;0;0;0;0;0;0
"D21_node_1076";0;0;0;0;0;0;0;0;1;0;0;0
"D21_node_1082";0;0;0;0;0;1;0;0;0;0;0;0
"D21_node_1091";0;0;1;0;0;0;0;1;0;0;0;0
"D21_node_1333";0;0;1;0;0;0;0;0;0;0;0;0
"D21_node_1358";0;0;1;0;0;0;0;0;0;0;0;0
