"";"P22_node_12048";"P22_node_8921";"P22_node_12571";"P22_node_12597";"P22_node_12598";"P22_node_12599";"P22_node_12242";"P22_node_12600";"P22_node_8964";"P22_node_12030";"P22_node_5354";"P22_node_6964";"P22_node_6966";"P22_node_6967";"P22_node_8818";"P22_node_9021";"P22_node_12601";"P22_node_6756";"P22_node_5802";"P22_node_12602";"P22_node_12603";"P22_node_7075";"P22_node_6935";"P22_node_5160";"P22_node_12604";"P22_node_12605";"P22_node_5876";"P22_node_8083";"P22_node_5880";"P22_node_12606";"P22_node_12607";"P22_node_5295";"P22_node_7022";"P22_node_8244";"P22_node_12608";"P22_node_12593";"P22_node_12596";"P22_node_5912";"P22_node_5198"
"P22_node_667";0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0
"P22_node_612";0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"P22_node_626";0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3145";0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1
"P22_node_3142";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_728";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_396";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1343";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"P22_node_3146";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_302";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
