"";"P22_node_5309";"P22_node_14166";"P22_node_9587";"P22_node_9588";"P22_node_14160";"P22_node_5313";"P22_node_14172";"P22_node_8370";"P22_node_11226";"P22_node_11279";"P22_node_14163";"P22_node_14238";"P22_node_5354";"P22_node_14258";"P22_node_5362";"P22_node_5363";"P22_node_11213";"P22_node_14239";"P22_node_5931";"P22_node_14169";"P22_node_9020";"P22_node_14170";"P22_node_14283";"P22_node_14284";"P22_node_14272";"P22_node_14285";"P22_node_14286";"P22_node_14173";"P22_node_14174";"P22_node_9078";"P22_node_14176";"P22_node_14241";"P22_node_14199";"P22_node_14177";"P22_node_14178";"P22_node_7692";"P22_node_14287";"P22_node_14179";"P22_node_14263";"P22_node_14213";"P22_node_14253";"P22_node_14184";"P22_node_14214";"P22_node_14186";"P22_node_11142";"P22_node_14282";"P22_node_14288";"P22_node_14278";"P22_node_14289";"P22_node_14190";"P22_node_14254";"P22_node_14191";"P22_node_14192";"P22_node_9664";"P22_node_5504";"P22_node_11254";"P22_node_14268";"P22_node_12819";"P22_node_14196";"P22_node_14229";"P22_node_14290";"P22_node_14291";"P22_node_5530";"P22_node_14250"
"P22_node_3901";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_3909";1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;1
"P22_node_3908";0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3923";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
"P22_node_3929";0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0
"P22_node_3914";1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2454";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3907";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2764";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3949";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3913";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1349";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
