"";"TI_HERB_1920";"TI_HERB_1922";"TI_HERB_1923";"TI_HERB_2112";"TI_HERB_1926";"TI_HERB_1928";"TI_HERB_2148";"TI_HERB_1930";"TI_HERB_1932";"TI_HERB_2149";"TI_HERB_1933";"TI_HERB_1935";"TI_HERB_2113";"TI_HERB_2150";"TI_HERB_2151";"TI_HERB_2152";"TI_HERB_2116";"TI_HERB_2053";"TI_HERB_2054";"TI_HERB_2153";"TI_HERB_2011";"TI_HERB_2154";"TI_HERB_1950";"TI_HERB_1952";"TI_HERB_1953";"TI_HERB_2155";"TI_HERB_1955";"TI_HERB_1956";"TI_HERB_1957";"TI_HERB_1958";"TI_HERB_2096";"TI_HERB_2156";"TI_HERB_2157";"TI_HERB_1963";"TI_HERB_1964";"TI_HERB_2158";"TI_HERB_2159";"TI_HERB_2077";"TI_HERB_2020";"TI_HERB_1967";"TI_HERB_1968";"TI_HERB_2160";"TI_HERB_2024";"TI_HERB_1971";"TI_HERB_815";"TI_HERB_2161";"TI_HERB_1972";"TI_HERB_1973";"TI_HERB_2027";"TI_HERB_1974";"TI_HERB_1975";"TI_HERB_2079";"TI_HERB_2142";"TI_HERB_2028";"TI_HERB_2120";"TI_HERB_2121";"TI_HERB_2162";"TI_HERB_2123";"TI_HERB_2104";"TI_HERB_2163";"TI_HERB_2164";"TI_HERB_1982";"TI_HERB_1983";"TI_HERB_1984";"TI_HERB_1985";"TI_HERB_1986";"TI_HERB_1987";"TI_HERB_2165";"TI_HERB_2040";"TI_HERB_2166";"TI_HERB_2167"
"TI_PLANT_2445";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"TI_PLANT_1922";0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0
"TI_PLANT_2413";0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_2414";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2415";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_699";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_2426";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2416";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_716";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2428";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
