"";"TI_HERB_2043";"TI_HERB_1994";"TI_HERB_1920";"TI_HERB_2112";"TI_HERB_1926";"TI_HERB_1930";"TI_HERB_2183";"TI_HERB_1932";"TI_HERB_2001";"TI_HERB_1935";"TI_HERB_2003";"TI_HERB_2184";"TI_HERB_2011";"TI_HERB_2117";"TI_HERB_2185";"TI_HERB_2186";"TI_HERB_1948";"TI_HERB_1949";"TI_HERB_1952";"TI_HERB_1953";"TI_HERB_1954";"TI_HERB_2015";"TI_HERB_1955";"TI_HERB_2076";"TI_HERB_1957";"TI_HERB_1959";"TI_HERB_1960";"TI_HERB_825";"TI_HERB_2020";"TI_HERB_1966";"TI_HERB_1967";"TI_HERB_2021";"TI_HERB_2022";"TI_HERB_1968";"TI_HERB_1969";"TI_HERB_2024";"TI_HERB_1972";"TI_HERB_2187";"TI_HERB_815";"TI_HERB_2188";"TI_HERB_2027";"TI_HERB_1975";"TI_HERB_2029";"TI_HERB_2189";"TI_HERB_2033";"TI_HERB_2126";"TI_HERB_1983";"TI_HERB_1985";"TI_HERB_1986";"TI_HERB_1987";"TI_HERB_1989";"TI_HERB_1991";"TI_HERB_2087";"TI_HERB_2130";"TI_HERB_2146";"TI_HERB_2135"
"TI_PLANT_141";1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
"TI_PLANT_1926";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2414";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2413";0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_2416";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2480";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2481";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_2415";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_40";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"TI_PLANT_2422";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2418";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
