"";"gateway_node_2834";"gateway_node_3811";"gateway_node_403";"gateway_node_1285";"gateway_node_4770";"gateway_node_271";"gateway_node_4577";"gateway_node_4578";"gateway_node_2152";"gateway_node_941";"gateway_node_3964";"gateway_node_3965";"gateway_node_5127";"gateway_node_714";"gateway_node_2693";"gateway_node_3384";"gateway_node_4996";"gateway_node_406";"gateway_node_2541";"gateway_node_2547";"gateway_node_2539";"gateway_node_2545";"gateway_node_4678";"gateway_node_4676";"gateway_node_4677";"gateway_node_1179";"gateway_node_1178";"gateway_node_4625";"gateway_node_1078";"gateway_node_285";"gateway_node_4749";"gateway_node_3990";"gateway_node_1027";"gateway_node_229";"gateway_node_3842";"gateway_node_5229";"gateway_node_4044";"gateway_node_4043";"gateway_node_3170";"gateway_node_154";"gateway_node_1985";"gateway_node_3950";"gateway_node_3931";"gateway_node_3932";"gateway_node_4373";"gateway_node_1202";"gateway_node_2328";"gateway_node_805";"gateway_node_2352";"gateway_node_3576";"gateway_node_703";"gateway_node_2220";"gateway_node_4502";"gateway_node_3284";"gateway_node_3152";"gateway_node_4778";"gateway_node_1175";"gateway_node_581";"gateway_node_1982";"gateway_node_2413";"gateway_node_2466";"gateway_node_1767";"gateway_node_3376";"gateway_node_3265";"gateway_node_3305";"gateway_node_3302";"gateway_node_2270";"gateway_node_3708";"gateway_node_3880";"gateway_node_1682";"gateway_node_4232";"gateway_node_770";"gateway_node_2915";"gateway_node_417";"gateway_node_407";"gateway_node_5031";"gateway_node_5030";"gateway_node_2775";"gateway_node_2778";"gateway_node_175";"gateway_node_4276";"gateway_node_2871";"gateway_node_3184";"gateway_node_872";"gateway_node_962";"gateway_node_1480";"gateway_node_43";"gateway_node_1873";"gateway_node_1609";"gateway_node_1412";"gateway_node_1933";"gateway_node_4039"
"gateway_node_2834";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3811";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_403";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"gateway_node_1285";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4770";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0
"gateway_node_271";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4577";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_4578";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_2152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_941";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
