"";"gateway_node_5";"gateway_node_7";"gateway_node_4698";"gateway_node_277";"gateway_node_5016";"gateway_node_2738";"gateway_node_2734";"gateway_node_2753";"gateway_node_2737";"gateway_node_2744";"gateway_node_2755";"gateway_node_2015";"gateway_node_2014";"gateway_node_4425";"gateway_node_2012";"gateway_node_2227";"gateway_node_216";"gateway_node_1070";"gateway_node_4209";"gateway_node_2009";"gateway_node_2218";"gateway_node_4565";"gateway_node_4450";"gateway_node_3457";"gateway_node_1587";"gateway_node_4479";"gateway_node_746";"gateway_node_879";"gateway_node_2459";"gateway_node_3727";"gateway_node_364";"gateway_node_368";"gateway_node_369";"gateway_node_370";"gateway_node_2818";"gateway_node_2819";"gateway_node_4083";"gateway_node_4338";"gateway_node_372";"gateway_node_2304";"gateway_node_5187";"gateway_node_1466";"gateway_node_2164";"gateway_node_2217";"gateway_node_3064";"gateway_node_4821";"gateway_node_2879";"gateway_node_1077";"gateway_node_2762";"gateway_node_4637";"gateway_node_2216";"gateway_node_4885";"gateway_node_5166";"gateway_node_2761";"gateway_node_489";"gateway_node_2700";"gateway_node_5017";"gateway_node_2759";"gateway_node_1366";"gateway_node_3555";"gateway_node_4059";"gateway_node_187";"gateway_node_4004";"gateway_node_4767";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4975";"gateway_node_1289";"gateway_node_4979";"gateway_node_4931";"gateway_node_3834";"gateway_node_3010";"gateway_node_3042";"gateway_node_3712";"gateway_node_5161";"gateway_node_2579";"gateway_node_4139";"gateway_node_4305";"gateway_node_5091";"gateway_node_5098";"gateway_node_5099";"gateway_node_5101";"gateway_node_5143";"gateway_node_5217";"gateway_node_5222";"gateway_node_2392";"gateway_node_3553";"gateway_node_3070";"gateway_node_3362";"gateway_node_3514";"gateway_node_3517";"gateway_node_4713";"gateway_node_3766";"gateway_node_2165";"gateway_node_496";"gateway_node_3871";"gateway_node_3937";"gateway_node_4063";"gateway_node_4798";"gateway_node_4799";"gateway_node_4388";"gateway_node_528";"gateway_node_1870";"gateway_node_1872";"gateway_node_2596";"gateway_node_2047";"gateway_node_128";"gateway_node_2048";"gateway_node_933";"gateway_node_3664";"gateway_node_4649";"gateway_node_1947";"gateway_node_3583";"gateway_node_853";"gateway_node_1261";"gateway_node_3166";"gateway_node_4347";"gateway_node_156";"gateway_node_485";"gateway_node_490";"gateway_node_486";"gateway_node_1566";"gateway_node_492";"gateway_node_181";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_5";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0
"gateway_node_7";1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4698";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
"gateway_node_277";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1
"gateway_node_5016";0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;1
"gateway_node_2738";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1
"gateway_node_2734";0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0
"gateway_node_2753";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0
"gateway_node_2737";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
"gateway_node_2744";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
