"";"gateway_node_2742";"gateway_node_2739";"gateway_node_2760";"gateway_node_4425";"gateway_node_1241";"gateway_node_4207";"gateway_node_2205";"gateway_node_151";"gateway_node_782";"gateway_node_2009";"gateway_node_2838";"gateway_node_2204";"gateway_node_3364";"gateway_node_3582";"gateway_node_2066";"gateway_node_3815";"gateway_node_2879";"gateway_node_2554";"gateway_node_4637";"gateway_node_4885";"gateway_node_483";"gateway_node_2020";"gateway_node_2150";"gateway_node_3580";"gateway_node_1466";"gateway_node_2700";"gateway_node_3064";"gateway_node_3276";"gateway_node_3277";"gateway_node_4792";"gateway_node_2610";"gateway_node_746";"gateway_node_3827";"gateway_node_2721";"gateway_node_4450";"gateway_node_645";"gateway_node_786";"gateway_node_3457";"gateway_node_1587";"gateway_node_420";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_1346";"gateway_node_4083";"gateway_node_881";"gateway_node_2815";"gateway_node_2813";"gateway_node_484";"gateway_node_4769";"gateway_node_400";"gateway_node_2850";"gateway_node_3775";"gateway_node_5133";"gateway_node_5138";"gateway_node_5139";"gateway_node_5140";"gateway_node_2856";"gateway_node_2863";"gateway_node_3772";"gateway_node_1157";"gateway_node_3766";"gateway_node_2701";"gateway_node_1366";"gateway_node_4127";"gateway_node_2485";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_4007";"gateway_node_4005";"gateway_node_2483";"gateway_node_3010";"gateway_node_3042";"gateway_node_2861";"gateway_node_4941";"gateway_node_5143";"gateway_node_3553";"gateway_node_3514";"gateway_node_2549";"gateway_node_5218";"gateway_node_5219";"gateway_node_4713";"gateway_node_1783";"gateway_node_3867";"gateway_node_3871";"gateway_node_4388";"gateway_node_528";"gateway_node_118";"gateway_node_4332";"gateway_node_1870";"gateway_node_2595";"gateway_node_2596";"gateway_node_51";"gateway_node_4174";"gateway_node_3310";"gateway_node_3311";"gateway_node_177";"gateway_node_933";"gateway_node_936";"gateway_node_1947";"gateway_node_935";"gateway_node_4648";"gateway_node_1675";"gateway_node_1006";"gateway_node_646";"gateway_node_3166";"gateway_node_4347";"gateway_node_157";"gateway_node_1565";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_2742";0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0
"gateway_node_2739";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0
"gateway_node_2760";1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_4425";0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1
"gateway_node_1241";0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0
"gateway_node_4207";0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0
"gateway_node_2205";0;1;0;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
"gateway_node_151";0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0
"gateway_node_782";0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_2009";0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0
