"";"gateway_node_197";"gateway_node_2496";"gateway_node_2497";"gateway_node_2491";"gateway_node_1715";"gateway_node_1381";"gateway_node_1332";"gateway_node_3962";"gateway_node_3994";"gateway_node_1988";"gateway_node_630";"gateway_node_1119";"gateway_node_1150";"gateway_node_596";"gateway_node_1233";"gateway_node_1234";"gateway_node_2133";"gateway_node_2909";"gateway_node_1443";"gateway_node_1448";"gateway_node_2495";"gateway_node_3777"
"gateway_node_197";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_2496";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"gateway_node_2497";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_2491";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_1715";1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1
"gateway_node_1381";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0
"gateway_node_1332";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0
"gateway_node_3962";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_3994";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_1988";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"gateway_node_630";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_1119";0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_1150";0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_596";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1233";1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0
"gateway_node_1234";0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0
"gateway_node_2133";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2909";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1443";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_1448";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2495";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3777";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
