"";"gateway_node_2718";"gateway_node_2423";"gateway_node_2079";"gateway_node_4001";"gateway_node_5232";"gateway_node_777";"gateway_node_1151";"gateway_node_1972";"gateway_node_3499";"gateway_node_502";"gateway_node_3264";"gateway_node_3435";"gateway_node_3185";"gateway_node_4779";"gateway_node_3665";"gateway_node_3673";"gateway_node_105";"gateway_node_22";"gateway_node_2592";"gateway_node_3738";"gateway_node_3740";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_257";"gateway_node_4662";"gateway_node_729";"gateway_node_282";"gateway_node_3267";"gateway_node_3400";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_2568";"gateway_node_1125";"gateway_node_4590";"gateway_node_456";"gateway_node_1571";"gateway_node_2769";"gateway_node_981";"gateway_node_2846"
"gateway_node_2718";1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0
"gateway_node_2423";1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0
"gateway_node_2079";1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1
"gateway_node_4001";1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_5232";1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0
"gateway_node_777";1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0
"gateway_node_1151";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_1972";1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0
"gateway_node_3499";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0
"gateway_node_502";1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1
"gateway_node_3264";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0
"gateway_node_3435";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3185";0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_4779";0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0
"gateway_node_3665";0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
"gateway_node_3673";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0
"gateway_node_105";1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0
"gateway_node_22";0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0
"gateway_node_2592";1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0
"gateway_node_3738";1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3740";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0
"gateway_node_2031";1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0
"gateway_node_4335";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0
"gateway_node_3455";1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
"gateway_node_563";1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_257";0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1
"gateway_node_4662";1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0
"gateway_node_729";1;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0
"gateway_node_282";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
"gateway_node_3267";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_3400";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
"gateway_node_3890";1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_5063";1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0
"gateway_node_1104";1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;0
"gateway_node_2568";1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0
"gateway_node_1125";1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0
"gateway_node_4590";1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;0
"gateway_node_456";1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0
"gateway_node_1571";1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"gateway_node_2769";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_981";1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0
"gateway_node_2846";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
