"";"gateway_node_5232";"gateway_node_1033";"gateway_node_2186";"gateway_node_1717";"gateway_node_1972";"gateway_node_4361";"gateway_node_3817";"gateway_node_1312";"gateway_node_4001";"gateway_node_4409";"gateway_node_3453";"gateway_node_1730";"gateway_node_3497";"gateway_node_281";"gateway_node_4135";"gateway_node_4779";"gateway_node_249";"gateway_node_4662";"gateway_node_4554";"gateway_node_1056";"gateway_node_1597";"gateway_node_2300";"gateway_node_1129";"gateway_node_1670";"gateway_node_574";"gateway_node_2438";"gateway_node_3614";"gateway_node_4694";"gateway_node_3890";"gateway_node_827";"gateway_node_826";"gateway_node_829";"gateway_node_5063";"gateway_node_1424";"gateway_node_2784";"gateway_node_3629";"gateway_node_1433";"gateway_node_4400";"gateway_node_4396";"gateway_node_4592";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_1240";"gateway_node_3957"
"gateway_node_5232";1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"gateway_node_1033";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1717";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1972";0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1
"gateway_node_4361";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3817";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1312";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_4001";1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
"gateway_node_4409";0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1
"gateway_node_3453";0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0
"gateway_node_1730";1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1
"gateway_node_3497";1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1
"gateway_node_281";1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1
"gateway_node_4135";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4779";0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0
"gateway_node_249";1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1
"gateway_node_4662";1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;1
"gateway_node_4554";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1056";1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1
"gateway_node_1597";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1
"gateway_node_2300";0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;1
"gateway_node_1129";0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0
"gateway_node_1670";0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0
"gateway_node_574";1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1
"gateway_node_2438";0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1
"gateway_node_3614";1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0
"gateway_node_4694";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3890";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"gateway_node_827";1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_826";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0
"gateway_node_829";0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5063";1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0
"gateway_node_1424";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1
"gateway_node_2784";0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3629";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0
"gateway_node_1433";0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_4400";0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0
"gateway_node_4396";0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_4592";1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0
"gateway_node_1156";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;0
"gateway_node_2769";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0
"gateway_node_2384";0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
"gateway_node_1240";0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;1;0;1;0
"gateway_node_3957";1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
