"","AI22_node_65","AI22_node_406","AI22_node_1353","AI22_node_2644","AI22_node_3030","AI22_node_188","AI22_node_3341","AI22_node_171","AI22_node_3049","AI22_node_798","AI22_node_3227","AI22_node_2343","AI22_node_3226","AI22_node_1741","AI22_node_1359","AI22_node_2277","AI22_node_231","AI22_node_264","AI22_node_2703","AI22_node_3316"
"AI22_node_221",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"AI22_node_351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_703",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"AI22_node_732",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"AI22_node_733",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"AI22_node_742",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_965",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"AI22_node_1468",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AI22_node_2451",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"AI22_node_2686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2742",0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
"AI22_node_3246",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
