"","AI22_node_171","AI22_node_410","AI22_node_599","AI22_node_602","AI22_node_659","AI22_node_647","AI22_node_1386","AI22_node_1464","AI22_node_2024","AI22_node_3184","AI22_node_3362","AI22_node_822"
"AI22_node_80",1,0,0,0,1,1,1,0,0,0,0,0
"AI22_node_355",0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_2146",0,0,0,1,0,0,0,0,0,1,0,0
"AI22_node_423",0,0,0,0,0,0,0,0,0,1,0,0
"AI22_node_126",1,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2846",1,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_465",0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_464",0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2273",0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_484",1,0,1,0,0,0,0,0,1,1,0,0
"AI22_node_14",0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_537",0,0,0,0,0,0,0,0,0,1,0,0
"AI22_node_2445",0,0,0,0,1,0,0,0,0,0,0,0
"AI22_node_2921",0,1,0,0,0,1,0,0,0,1,0,0
"AI22_node_2971",0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2139",0,0,0,0,0,0,0,0,0,0,0,0
