"","AI22_node_171","AI22_node_410","AI22_node_602","AI22_node_1384","AI22_node_1387","AI22_node_1389","AI22_node_2024","AI22_node_2371","AI22_node_3057","AI22_node_3184","AI22_node_270","AI22_node_1046","AI22_node_1048"
"AI22_node_483",1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2149",1,0,0,1,0,0,0,0,0,1,0,0,0
"AI22_node_1807",0,0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_2984",1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2084",1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_3000",1,0,0,1,0,0,0,0,0,1,0,0,1
"AI22_node_421",1,0,0,0,0,0,0,0,0,1,0,1,0
"AI22_node_936",1,0,0,0,0,0,0,0,0,0,1,0,0
"AI22_node_2850",1,0,0,1,0,0,0,1,0,1,0,0,0
"AI22_node_537",1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1378",1,0,0,0,0,0,0,0,0,0,0,1,0
