"","TI_HERB_18","TI_HERB_964","TI_HERB_965","TI_HERB_966","TI_HERB_15","TI_HERB_967","TI_HERB_968","TI_HERB_969","TI_HERB_970","TI_HERB_971","TI_HERB_972"
"TI_PLANT_846",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_847",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_848",0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_849",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_850",0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_851",1,0,0,0,0,1,0,0,0,0,1
"TI_PLANT_852",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_295",1,0,0,0,0,0,0,0,0,1,0
"TI_PLANT_853",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_854",0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_855",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_856",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_857",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_41",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_858",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_859",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_860",1,0,0,1,0,0,0,0,0,0,0
"TI_PLANT_861",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_862",0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_863",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_864",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_865",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_80",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_866",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_867",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_868",1,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_869",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_870",1,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_871",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_872",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_873",1,0,0,0,0,1,0,0,0,0,0
