"","TI_HERB_4719","TI_HERB_4721","TI_HERB_4729","TI_HERB_1816","TI_HERB_4730","TI_HERB_4731","TI_HERB_4732","TI_HERB_4733","TI_HERB_4734","TI_HERB_4724","TI_HERB_4735","TI_HERB_4726","TI_HERB_4736","TI_HERB_4737","TI_HERB_4725","TI_HERB_4738","TI_HERB_4739","TI_HERB_4740","TI_HERB_4741","TI_HERB_4742","TI_HERB_4743","TI_HERB_2045","TI_HERB_4707"
"TI_PLANT_4271",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"TI_PLANT_4272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TI_PLANT_4279",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4281",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4282",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2444",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TI_PLANT_4283",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"TI_PLANT_2111",1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_75",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2479",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4284",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
