"","WOL_node_2347","WOL_node_7019","WOL_node_5175","WOL_node_10227","WOL_node_2966","WOL_node_6334","WOL_node_7207","WOL_node_10696","WOL_node_12718","WOL_node_2976","WOL_node_6838","WOL_node_12722","WOL_node_8862","WOL_node_12329","WOL_node_2420","WOL_node_5316"
"WOL_node_4736",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1727",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_1688",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_1700",1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1
"WOL_node_1706",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"WOL_node_1710",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_10474",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_723",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6810",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4722",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_4728",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12773",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_4471",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4697",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11209",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_7283",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7507",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"WOL_node_1031",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_620",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_931",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2409",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_2663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4619",0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
"WOL_node_15467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9164",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_2029",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_5887",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_7724",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_7772",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"WOL_node_9944",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11725",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
"WOL_node_12179",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_7232",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_10087",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_11101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
