"","gateway_node_2737","gateway_node_2755","gateway_node_4425","gateway_node_99","gateway_node_2020","gateway_node_2150","gateway_node_3580","gateway_node_4636","gateway_node_1466","gateway_node_2066","gateway_node_3064","gateway_node_3277","gateway_node_4338","gateway_node_4792","gateway_node_2019","gateway_node_2746","gateway_node_2747","gateway_node_2284","gateway_node_1077","gateway_node_2741","gateway_node_2760","gateway_node_746","gateway_node_760","gateway_node_4637","gateway_node_2009","gateway_node_2216","gateway_node_4820","gateway_node_215","gateway_node_4209","gateway_node_645","gateway_node_3551","gateway_node_3457","gateway_node_1587","gateway_node_423","gateway_node_1271","gateway_node_790","gateway_node_2459","gateway_node_2953","gateway_node_3727","gateway_node_2812","gateway_node_1347","gateway_node_4083","gateway_node_881","gateway_node_2815","gateway_node_5193","gateway_node_489","gateway_node_3596","gateway_node_2700","gateway_node_1366","gateway_node_4131","gateway_node_530","gateway_node_1861","gateway_node_1028","gateway_node_232","gateway_node_3010","gateway_node_4769","gateway_node_1968","gateway_node_2861","gateway_node_3767","gateway_node_5101","gateway_node_5102","gateway_node_5106","gateway_node_5107","gateway_node_5143","gateway_node_5217","gateway_node_5222","gateway_node_3553","gateway_node_3070","gateway_node_3362","gateway_node_3514","gateway_node_2623","gateway_node_2862","gateway_node_2864","gateway_node_2889","gateway_node_3615","gateway_node_3616","gateway_node_3619","gateway_node_5141","gateway_node_4713","gateway_node_5188","gateway_node_2285","gateway_node_2701","gateway_node_496","gateway_node_1324","gateway_node_3019","gateway_node_3864","gateway_node_3867","gateway_node_4799","gateway_node_4388","gateway_node_528","gateway_node_4332","gateway_node_2021","gateway_node_1870","gateway_node_2596","gateway_node_2594","gateway_node_2597","gateway_node_933","gateway_node_936","gateway_node_4649","gateway_node_1947","gateway_node_5020","gateway_node_1564","gateway_node_646","gateway_node_3166","gateway_node_4347","gateway_node_157","gateway_node_161","gateway_node_485","gateway_node_486","gateway_node_1320","gateway_node_181","gateway_node_1083","gateway_node_1117","gateway_node_1339","gateway_node_2567","gateway_node_3928","gateway_node_4346","gateway_node_4348"
"gateway_node_2737",0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"gateway_node_2755",1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"gateway_node_4425",0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
"gateway_node_99",1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
"gateway_node_2020",1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"gateway_node_2150",1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
"gateway_node_3580",0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
"gateway_node_4636",1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
"gateway_node_1466",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2066",1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
