"","gateway_node_503","gateway_node_4401","gateway_node_860","gateway_node_3259","gateway_node_5050","gateway_node_4751","gateway_node_2833","gateway_node_799","gateway_node_2827","gateway_node_797","gateway_node_3164","gateway_node_1643","gateway_node_2828","gateway_node_859","gateway_node_310","gateway_node_2905","gateway_node_4466","gateway_node_4459","gateway_node_4457","gateway_node_1645","gateway_node_2139","gateway_node_802","gateway_node_793","gateway_node_2140","gateway_node_2831","gateway_node_3163","gateway_node_3151","gateway_node_4603","gateway_node_1642","gateway_node_2832","gateway_node_4692","gateway_node_3807","gateway_node_2069","gateway_node_1529","gateway_node_4652","gateway_node_767","gateway_node_972","gateway_node_1986","gateway_node_4002","gateway_node_2269","gateway_node_4228","gateway_node_2306","gateway_node_4523","gateway_node_3808","gateway_node_219","gateway_node_2508","gateway_node_2310","gateway_node_2175","gateway_node_3509","gateway_node_4651","gateway_node_4464","gateway_node_2396","gateway_node_4516","gateway_node_2154","gateway_node_5232","gateway_node_4781","gateway_node_2157","gateway_node_2158","gateway_node_2163","gateway_node_3483","gateway_node_4084","gateway_node_2279","gateway_node_205","gateway_node_3667","gateway_node_1191","gateway_node_4086","gateway_node_1201","gateway_node_4653","gateway_node_4605","gateway_node_1963","gateway_node_5051","gateway_node_2397","gateway_node_2399","gateway_node_467","gateway_node_479","gateway_node_4872","gateway_node_2398","gateway_node_4602","gateway_node_3401","gateway_node_633","gateway_node_3402","gateway_node_4465","gateway_node_765","gateway_node_4630","gateway_node_917","gateway_node_4650","gateway_node_4704","gateway_node_798","gateway_node_4301","gateway_node_791","gateway_node_2480","gateway_node_2509","gateway_node_3289","gateway_node_2174","gateway_node_2176","gateway_node_4409","gateway_node_674","gateway_node_1614","gateway_node_3076","gateway_node_4604","gateway_node_1644","gateway_node_2829","gateway_node_800","gateway_node_634","gateway_node_2155","gateway_node_2173","gateway_node_4357","gateway_node_1707","gateway_node_3726","gateway_node_1656","gateway_node_3412","gateway_node_5195","gateway_node_3508","gateway_node_4414","gateway_node_3425","gateway_node_3173","gateway_node_4182","gateway_node_4608","gateway_node_4606","gateway_node_311","gateway_node_3134","gateway_node_1657","gateway_node_4040","gateway_node_3162","gateway_node_919","gateway_node_4583","gateway_node_4488","gateway_node_2518","gateway_node_551","gateway_node_2311","gateway_node_1525","gateway_node_3171","gateway_node_3172","gateway_node_1470","gateway_node_918","gateway_node_2307","gateway_node_3933","gateway_node_2024","gateway_node_35","gateway_node_2517","gateway_node_4406","gateway_node_4587","gateway_node_792","gateway_node_294","gateway_node_2156","gateway_node_2309","gateway_node_245","gateway_node_764","gateway_node_4586","gateway_node_1781","gateway_node_14","gateway_node_1558","gateway_node_212","gateway_node_4041","gateway_node_4513","gateway_node_2966","gateway_node_3754","gateway_node_36","gateway_node_4463","gateway_node_138","gateway_node_293","gateway_node_5194","gateway_node_392","gateway_node_610","gateway_node_2161","gateway_node_4750","gateway_node_2252","gateway_node_2516","gateway_node_2162","gateway_node_300","gateway_node_1859","gateway_node_954","gateway_node_2830","gateway_node_3449","gateway_node_617","gateway_node_701","gateway_node_13","gateway_node_4462","gateway_node_1336","gateway_node_702","gateway_node_2371","gateway_node_564","gateway_node_2159","gateway_node_4415","gateway_node_1318","gateway_node_2390","gateway_node_4552","gateway_node_3101","gateway_node_796","gateway_node_2177","gateway_node_2210","gateway_node_2120","gateway_node_4411","gateway_node_2251","gateway_node_2422","gateway_node_916","gateway_node_4491","gateway_node_3506","gateway_node_4493","gateway_node_3500","gateway_node_2211","gateway_node_700","gateway_node_4935","gateway_node_766","gateway_node_2121","gateway_node_3507","gateway_node_38","gateway_node_3697","gateway_node_3486","gateway_node_4693","gateway_node_2249","gateway_node_2318","gateway_node_2514","gateway_node_274","gateway_node_2033","gateway_node_1453","gateway_node_211","gateway_node_5033","gateway_node_993","gateway_node_2449","gateway_node_1454","gateway_node_2274","gateway_node_4494","gateway_node_4934","gateway_node_3054","gateway_node_994","gateway_node_1054","gateway_node_39","gateway_node_4499","gateway_node_2952","gateway_node_1534","gateway_node_851","gateway_node_4624","gateway_node_37","gateway_node_3132","gateway_node_4492","gateway_node_4413","gateway_node_4585","gateway_node_4584","gateway_node_2502","gateway_node_2503","gateway_node_4412","gateway_node_4752","gateway_node_3891","gateway_node_1365","gateway_node_595","gateway_node_4728"
"gateway_node_503",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"gateway_node_4401",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"gateway_node_860",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"gateway_node_3259",1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1
"gateway_node_5050",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"gateway_node_4751",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"gateway_node_2833",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"gateway_node_799",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2827",1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"gateway_node_797",0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
