"","D21_node_610","D21_node_11","D21_node_50","D21_node_349","D21_node_1052","D21_node_940","D21_node_1377","D21_node_347","D21_node_1048","D21_node_658","D21_node_660","D21_node_603","D21_node_1053","D21_node_1224","D21_node_657","D21_node_69","D21_node_439","D21_node_154","D21_node_350","D21_node_508"
"D21_node_143",1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"D21_node_165",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_166",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_211",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_283",1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"D21_node_357",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_361",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_362",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_365",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_372",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_440",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_441",0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_445",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
"D21_node_446",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_517",0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"D21_node_528",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_529",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_530",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_561",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_574",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_583",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_584",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_592",0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_617",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_624",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_750",0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"D21_node_755",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_812",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_817",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_863",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"D21_node_868",1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"D21_node_881",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_966",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"D21_node_975",0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_982",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_1074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1075",0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"D21_node_1087",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1090",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1096",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1101",1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
"D21_node_1157",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1219",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"D21_node_1275",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1339",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"D21_node_1433",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
