"","P22_node_5354","P22_node_7074","P22_node_5888","P22_node_7075","P22_node_5438","P22_node_7076","P22_node_7077","P22_node_7078","P22_node_7079","P22_node_7080","P22_node_7081","P22_node_7082","P22_node_7083"
"P22_node_649",1,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_650",1,0,0,0,0,0,0,1,1,1,0,0,0
"P22_node_651",1,1,1,0,1,0,1,1,1,0,1,1,0
"P22_node_528",1,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_652",0,0,0,0,0,0,0,0,0,0,0,0,1
"P22_node_653",1,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_654",1,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_655",1,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_656",1,1,1,0,1,1,0,0,1,0,1,0,0
"P22_node_657",1,1,1,0,0,0,0,0,1,0,1,1,0
"P22_node_658",0,1,1,0,0,0,0,1,1,0,0,0,0
"P22_node_659",1,0,0,0,0,1,0,0,0,1,0,0,0
"P22_node_660",1,1,0,0,0,0,0,0,1,0,1,0,0
"P22_node_661",1,0,1,1,0,0,1,1,1,0,0,0,1
