"","P22_node_5802","P22_node_13054","P22_node_5354","P22_node_6964","P22_node_5771","P22_node_6966","P22_node_8785","P22_node_8786","P22_node_6967","P22_node_12033","P22_node_13068","P22_node_13074","P22_node_9126","P22_node_9988","P22_node_6434","P22_node_5912","P22_node_5198"
"P22_node_628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3347",1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0
"P22_node_609",1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"P22_node_1355",1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"P22_node_608",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3360",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_1380",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"P22_node_396",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_720",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_1353",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"P22_node_1840",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
