"","gateway_node_2421","gateway_node_1847","gateway_node_1000","gateway_node_29","gateway_node_1019","gateway_node_1022","gateway_node_823","gateway_node_4504","gateway_node_1326","gateway_node_1381","gateway_node_1332","gateway_node_2496","gateway_node_2314","gateway_node_1141","gateway_node_3992","gateway_node_3118","gateway_node_630","gateway_node_1703","gateway_node_587","gateway_node_1374","gateway_node_1150","gateway_node_5021","gateway_node_3014","gateway_node_1277","gateway_node_596","gateway_node_1845","gateway_node_3046","gateway_node_3475","gateway_node_1233","gateway_node_1234","gateway_node_2841","gateway_node_4763","gateway_node_1692","gateway_node_2983","gateway_node_4595","gateway_node_3247","gateway_node_4839","gateway_node_4429","gateway_node_3341","gateway_node_2908","gateway_node_4419","gateway_node_1280","gateway_node_1069","gateway_node_297","gateway_node_298","gateway_node_3002","gateway_node_3003","gateway_node_998","gateway_node_3777","gateway_node_876"
"gateway_node_2421",0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1847",1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"gateway_node_1000",1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"gateway_node_29",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1019",0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1022",0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"gateway_node_823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_4504",1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"gateway_node_1326",0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"gateway_node_1381",0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
