;Amazilia saucerottei;Amazilia tzacatl;Anthracothorax nigricollis;Chlorostilbon melanorhynchus;Heliomaster longirostris;Phaethornis guy
Canna indica;9;7;0;18;0;0
Centropogon cornutus;0;0;0;0;0;30
Dicliptera squarrosa;0;70;0;61;0;0
Erythrina edulis;12;19;27;5;0;0
Erythrina speciosa;80;51;17;27;75;2
Hamelia patens;73;80;1;65;0;0
Heliconia griggsiana;0;0;0;0;0;80
Heliconia latispatha;3;8;0;0;0;60
Inga densiflora;44;28;7;47;0;0
Inga ingoides;24;80;60;4;20;0
Musa x paradisiaca;0;10;1;0;0;4
Musa velutina;7;22;0;0;0;0
Spathodea campanulata;7;25;72;1;0;0
Handroanthus chrysanthus;14;12;5;2;0;0
