;Phaethornis ruber;Phaethornis squalidus;Thalurania glaucopis;Phaethornis pretrei;Chlorostilbon lucidus;Calliphlox amethystina;Amazilia fimbriata;Amazilia lactea
Corymborkis flava;0;6;0;0;2;0;0;0
Fridericia speciosa;0;3;0;0;2;4;0;0
Geissomeria schottiana;3;14;35;1;0;0;1;0
Heliconia angusta;5;1;2;0;0;0;0;0
Hyptidendron asperrimum;0;0;0;0;1;1;0;0
Justicia scheidweileri;12;4;17;0;0;0;0;0
Lantana camara;2;3;0;0;0;0;0;0
Mendoncia coccinea;1;0;8;0;0;0;0;1
Mutisia speciosa;7;0;0;0;0;0;0;0
Passiflora kermesina;4;0;0;0;0;0;0;0
Passiflora speciosa;0;11;0;0;0;0;0;0
Rubus rosifolius;4;1;0;0;0;0;0;0
Ruellia brevifolia;7;12;0;1;0;0;0;0
Ruellia subsessilis;2;0;0;0;0;0;0;0
