;Chlorostilbon lucidus;Clytolaema rubricauda;Colibri serrirostris;Leucochloris albicollis;Phaethornis eurynome;Stephanoxis lalandi
Abutilon regnellii;0;28;0;4;2;0
Aechmea distichantha;0;0;0;1;13;23
Aechmea nudicaulis;2;1;0;10;3;4
Agarista sp. 1;0;0;3;0;0;0
Alstroemeria inodora;0;0;0;0;9;0
Billbergia distachya;0;0;0;3;13;0
Buddleja brasiliensis;0;0;0;0;0;19
Camptosema scarlatinum;0;0;0;5;11;4
Canistrum cyathiforme;0;0;0;2;12;0
Cestrum corymbosum;0;1;0;0;0;17
Collaea speciosa;0;0;0;2;10;20
Esterhazya splendida;0;0;0;6;3;0
Fuchsia regia;0;31;0;8;4;7
Hippeastrum aviflorum;0;1;0;8;0;0
Lonicera japonica;3;0;0;0;0;0
Manettia pubescens;0;0;0;0;4;0
Mutisia speciosa;0;0;0;8;3;1
Nidularium marigoi;0;0;0;0;8;0
Nematanthus fornix;0;0;0;2;3;12
Salvia arenaria;0;0;0;2;0;21
Sinningia douglasii;0;0;0;13;9;1
Siphocampylus sulfureus;0;16;0;36;2;6
Siphocampylus westinianus;0;0;0;16;6;0
Tillandsia stricta;0;1;0;2;0;6
Vriesea sceptrum;0;0;0;5;6;0
