;Amazilia versicolor;Clytolaema rubricauda;Leucochloris albicollis;Florisuga fusca;Thalurania glaucopis;Phaethornis eurynome
Aechmea pectinata;0;0;0;0;0;2
Alstroemeria inodora;0;0;0;0;0;2
Alstroemeria isabellana;1;0;3;0;0;0
Buddleja brasiliensis;1;0;0;0;0;0
Canistrum giganteum;0;0;0;0;0;6
Dahlstedtia pinnata;0;1;5;0;7;3
Dioclea sp.1;0;0;4;0;2;0
Fuchsia regia;0;7;0;0;3;0
Heliconia farinosa;0;6;0;0;15;7
Inga sp.1;0;2;1;5;0;0
Justicia carnea;0;0;0;0;2;4
Loranthaceae sp.1;0;1;0;0;1;0
Mandevilla funiformis;0;0;8;6;0;0
Manettia cordifolia;0;0;3;2;0;3
Marcgravia polyantha;0;18;0;0;1;0
Mendoncia coccinea;0;5;3;0;5;0
Nematanthus fritschii;0;0;0;0;0;1
Nematanthus gregarius;0;1;1;0;1;0
Nidularium innocentii;0;1;1;0;0;0
Phormium tenax;0;3;13;24;7;0
Piptocarpha notata;3;0;0;0;3;0
Salvia articulata;0;0;0;0;0;1
Tillandsia stricta;2;0;0;0;0;0
Vriesea incurvata;0;0;0;0;0;3
Vriesea jonghei;7;13;4;5;6;5
