;Coeligena lutetiae;Boissonneaua matthewsii;Coeligena torquata;Eriocnemis vestita;Doryfera ludovicae;Heliangelus micraster;Lafresnaya lafresnayi;Metallura tyrianthina
Columnea sp. 1;1;0;0;0;0;0;1;0
Bomarea distichifolia;0;0;0;8;0;1;10;5
Aetanthus nodosus;36;0;1;0;0;3;0;0
Centropogon comosus;3;0;0;0;0;0;0;0
Ceratostema loranthiflorum;0;0;0;10;0;11;0;0
Disterigma pentandrum;0;0;0;1;0;9;0;4
Axinaea sp. 1;1;1;0;0;0;5;0;0
Palicourea lasiorrhachis;0;0;0;0;0;2;0;0
Brachyotum andreanum;1;0;0;5;0;5;0;5
Cavendishia bracteata;8;0;0;0;2;5;0;0
Guzmania gloriosa;11;0;2;0;0;0;0;0
Palicourea weberbaueri;0;0;0;2;0;3;0;2
Palicourea azurea ;0;0;0;0;0;27;1;3
Markea longiflora;25;0;0;0;0;1;0;0
Alloplectus hispidus;15;0;0;0;1;0;0;0
Centropogon erythraeus;0;0;0;0;0;2;15;0
Palicourea lyristipula;0;1;0;1;0;14;0;18
