"";"Erithacus rubecula";"Phoenicurus ochruros";"Sylvia atricapilla";"Sylvia melanocephala";"Sylvia undata";"Turdus merula";"Turdus philomelos";"Turdus viscivorus"
"Phoenix canariensis";0;0;0;0;0;0;0;1
"Ficus carica";0;0;0;0;0;0;0;2
"Rhamnus alaternus";0;0;0;0;0;0;0;1
"Asparagus albus";0;1;0;0;0;2;0;26
"Asparagus horridus";0;0;0;0;0;0;0;10
"Daphne gnidium";0;0;0;0;0;0;1;7
"Lycium intricatum";0;0;0;3;0;0;0;16
"Myrtus communis";0;0;0;0;0;0;0;1
"Osyris quadripartita";0;0;1;0;0;0;0;24
"Pistacia lentiscus";7;1;0;7;1;2;2;13
"Withania frutescens";0;7;0;0;0;0;0;12
