"";"Chiroxiphia caudata";"Cyanocorax chrysops";"Elaenia parvirostris";"Myiothlypis leucoblephara";"Myiodynastes maculatus";"Tangara preciosa";"Tangara sayaca";"Turdus albicollis";"Turdus amaurochalinus";"Turdus rufiventris";"Zonotrichia capensis"
"Banara tomentosa";0;0;1;1;0;1;0;11;0;14;1
"Cissus striata";0;0;0;0;0;0;0;1;0;0;0
"Daphnopsis racemosa";0;0;4;0;0;0;0;0;2;0;0
"Eugenia uniflora";0;0;0;0;0;0;0;0;0;1;0
"Eugenia uruguayensis";0;0;0;0;0;0;0;1;0;0;0
"Myrcia palustris";0;0;0;0;0;0;0;2;4;1;0
"Pouteria salicifolia";0;1;0;0;0;0;0;0;0;0;0
"Scutia buxifolia";1;0;4;0;1;0;1;2;2;0;0
"Styrax leprosus";0;0;0;0;0;0;0;1;0;0;0
"Tripodanthus acutifolius";0;0;0;0;0;1;0;0;0;2;0
