"";"Hemiphaga novaeseelandiae";"Nestor meridionalis";"Cyanoramphus auriceps";"Acanthisitta chloris";"Mohoua novaeseelandiae";"Gerygone igata";"Mohoua ochrocephala";"Petroica macrocephala";"Rhipidura fuliginosa";"Turdus merula";"Zosterops lateralis";"Anthornis melanura";"Prosthemadera novaeseelandiae";"Carduelis flammea";"Fringilla coelebs"
"Thalamia cupressina";688;123;53;0;0;1;0;1;0;15;175;86;62;9;2
"Dacrycarpus dacrydioides";105;0;0;0;2;0;0;0;0;0;28;10;4;0;0
"Cassine hookeriana";0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
"Podocarpus totara";0;43;12;0;0;0;0;0;0;0;4;2;0;0;0
"Pectinopitys ferruginea";512;24;0;0;0;0;0;0;0;5;0;3;2;0;0
"Prumnopitys taxifolia";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aristotelia serrata";20;0;0;0;0;0;0;0;0;2;46;4;0;0;0
"Ascarina lucida";0;0;0;0;0;0;0;7;8;0;127;19;0;0;0
"Carpodetus serratus";0;2;0;0;0;0;0;0;0;5;6;1;17;0;0
"Coprosma foetidissima";5;7;1;0;0;0;0;0;1;0;8;22;0;0;0
"Coprosma lucida";0;0;0;0;0;0;0;0;0;0;0;1;5;0;0
"Coprosma rotundifolia";0;0;0;0;0;0;0;0;0;0;10;11;0;0;0
"Coriaria arborea";10;0;0;0;0;0;0;0;0;2;30;2;0;0;0
"Fuchsia excorticata";52;0;0;0;0;0;0;0;2;14;11;4;0;0;0
"Griselinia littoralis";5;0;0;0;0;1;3;0;0;2;224;2;0;0;0
"Hedycarya arborea";52;12;0;0;0;0;0;0;0;0;0;1;0;0;0
"Rapanea australis";2;0;0;0;0;0;0;0;0;0;7;9;1;0;0
"Rapanea divaricata";0;0;0;0;0;0;0;0;0;0;10;8;0;0;0
"Neomyrtus pedunculata";0;0;0;0;0;0;0;0;0;0;21;17;0;0;0
"Pennantia corymbosa";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Neopanax colensoi";152;0;0;0;0;0;0;0;0;0;7;0;0;0;0
"Pseudopanax crassifolius";57;18;0;0;5;8;0;10;0;7;187;22;0;0;10
"Nothopanax edgerleyi";0;3;0;8;0;0;0;1;2;0;20;3;4;0;0
"Raukaua simplex";69;0;0;6;4;6;0;1;0;7;110;1;0;0;1
"Pseudowintera colorata";36;0;0;0;0;0;0;0;0;0;10;7;0;0;0
"Schefflera digitata";19;0;0;0;0;0;0;0;0;0;88;0;1;0;0
"Peraxilla sp";0;3;0;0;0;0;0;0;0;4;9;1;0;0;0
"Smilax ripogonum";24;1;0;0;0;0;0;0;0;0;1;8;2;0;0
