"";"Crypturellus parvirostris";"Penelope jacucaca";"Patagioenas picazuro";"Trogon curucui";"Piculus chrysochloros";"Celeus ochraceus";"Cariama cristata";"Eupsittula cactorum";"Forpus xanthopterygius";"Pseudoseisura cristata";"Myiarchus tyrannulus";"Cyanocorax cyanopogon";"Pitangus sulphuratus";"Turdus rufiventris";"Mimus saturninus";"Icterus pyrrhopterus";"Icterus jamacaii";"Paroaria dominicana";"Tangara sayaca";"Nemosia pileata";"Euphonia chlorotica"
"Ziziphus joazeiro";1;2;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0
"Commiphora leptophloeos";0;2;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0
"Sideroxylon obtusifolium";0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Cissus_GBIFresolved_net_089";0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
"Cereus jamacaru";0;0;1;0;1;4;0;0;3;2;1;8;2;0;13;1;1;1;0;0;4
"Monteverdia rigida";0;0;0;1;0;0;0;1;0;0;3;0;0;1;2;0;1;0;0;0;0
"Phoradendron quadrangulare";0;0;0;0;0;1;0;4;0;0;0;0;2;1;0;0;0;0;0;0;0
"Myracrodruon urundeuva";0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
"Bromelia laciniosa";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Cynophalla flexuosa";0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;2;0
